codigo,frase_idx,emocion_idx,experienciador,experienciador_marca,tipo_emocion,fuente_marca,fuente_inferencia,modo_existencia,caracterizacion__foria,caracterizacion__foria_justificacion,caracterizacion__dominancia,caracterizacion__dominancia_justificacion,caracterizacion__intensidad,caracterizacion__intensidad_justificacion,caracterizacion__duracion,caracterizacion__duracion_justificacion,caracterizacion__tipo_atribucion,caracterizacion__tipo_atribucion_justificacion,caracterizacion__temporalidad,caracterizacion__temporalidad_justificacion,caracterizacion__aspecto,caracterizacion__aspecto_justificacion,caracterizacion_version,caracterizacion_error,tipo_configuracion,modo_semiotizacion,modo_identificacion,tipo_emocion_canonico,actantes__mediador__presente,actantes__mediador__descripcion,actantes__mediador__tipo,actantes__mediador__justificacion,actantes__verificador_normativo__presente,actantes__verificador_normativo__descripcion,actantes__verificador_normativo__tipo,actantes__verificador_normativo__evaluacion,actantes__verificador_normativo__justificacion,actantes__verificador_observacional__presente,actantes__verificador_observacional__descripcion,actantes__verificador_observacional__tipo,actantes__verificador_observacional__evaluacion,actantes__verificador_observacional__justificacion,actantes__operador_modificacion__presente,actantes__operador_modificacion__descripcion,actantes__operador_modificacion__funcion,actantes__operador_modificacion__justificacion,actantes__polaridad__negada,actantes__polaridad__tipo,actantes__polaridad__justificacion,actantes_version,actantes_error,created_at,updated_at
casarosada_50299-palabras-del-presidente-de-la-nacion-javier-milei-en-el-54-reunion-anual-del-foro-economico-mundial-de-davos,0,0,Javier Milei,estoy acá,preocupación,Occidente está en peligro,el peligro de Occidente,realizada,disforico,El término 'peligro' y la advertencia sobre el 'socialismo' poseen una valencia negativa y de alarma.,cognoscitiva,La preocupación se despliega como un juicio evaluativo y una lectura racional del mundo ('visión del mundo que... conduce al socialismo').,alta,"El uso de la repetición enfática ('está en peligro, está en peligro') y el adverbio 'inexorablemente' denotan una magnitud fuerte.",durable,"No es una reacción instantánea, sino una tesis sostenida a lo largo del discurso sobre el estado de Occidente.",sin_atribucion,No hay términos del campo léxico de la emoción (como 'estoy preocupado' o 'siento temor') atribuidos sintácticamente al actor; la preocupación se infiere de la valoración del 'peligro'.,contemporanea,Se refiere a la situación actual de Occidente en el presente de la enunciación ('hoy estoy acá para decirles').,imperfectivo,"La situación de peligro se presenta como un estado en curso ('está en peligro'), sin un límite temporal cerrado.",v29,,cualificacion_por_indicadores_axiologicos,mostrada,por_senales_salida,,False,,ausente,La preocupación surge del análisis de la situación geopolítica y cultural ('Occidente está en peligro') sin un vehículo material o discursivo externo que la transporte; el vínculo es directo.,False,,ausente,sin_evaluacion,"El texto no evalúa si es adecuado o moralmente correcto sentir preocupación, solo la describe como consecuencia de un riesgo.",False,,ausente,sin_evaluacion,No hay un cuestionamiento ni una corroboración de la autenticidad de la preocupación del experienciador.,False,,ausente,"El discurso expone la causa de la preocupación, pero no hay una operación dirigida a modificar, inhibir o activar la emoción en el propio Milei.",False,afirmada,La emoción se predica positivamente a través de la afirmación del peligro ('está en peligro').,v29,,2026-07-02 22:47:01,2026-07-06 06:35:00.963306+00:00
casarosada_50299-palabras-del-presidente-de-la-nacion-javier-milei-en-el-54-reunion-anual-del-foro-economico-mundial-de-davos,0,1,Javier Milei,decirles,indignación,se encuentran cooptados,la cooptación de los defensores de Occidente,realizada,disforico,La indignación es inherentemente negativa y se refuerza con términos de amenaza como 'peligro' y 'cooptados'.,cognoscitiva,"La indignación surge de una evaluación racional y un juicio crítico sobre la situación política ('está en peligro', 'conduce al socialismo').",alta,El uso de adverbios como 'inexorablemente' y la gravedad de la denuncia ('en peligro') denotan una magnitud fuerte.,durable,"No es una reacción instantánea, sino una pasión que sostiene el argumento central del discurso sobre el peligro de Occidente.",sin_atribucion,No hay términos del campo léxico de la emoción (ej. 'estoy indignado') atribuidos sintácticamente al sujeto; la indignación se infiere de la valoración del peligro y la cooptación.,contemporanea,"Se refiere a una situación actual ('hoy estoy acá', 'está en peligro') en el momento de la enunciación.",no_marcado,"No se presenta un foco específico en el inicio, cese o repetición del estado emocional; la predicación es neutra.",v29,,cualificacion_por_indicadores_axiologicos,mostrada,por_senales_salida,indignación,False,,ausente,"La indignación es una disposición afectiva del experienciador que no se vehiculiza a través de un objeto o discurso externo hacia él mismo, sino que se manifiesta en su postura.",False,,ausente,sin_evaluacion,No hay un juicio sobre si es correcto o incorrecto sentir indignación según una norma específica.,False,,ausente,sin_evaluacion,El texto no cuestiona ni corrobora la autenticidad de la emoción ni la veracidad de su disparador mediante un proceso de verificación.,False,,ausente,"El discurso describe la situación que provoca la emoción, pero no hay una operación dirigida a modificar la indignación del propio Milei.",False,afirmada,"Se predica la existencia de la emoción a través de la denuncia de que Occidente 'está en peligro', afirmando el estado afectivo del orador.",v29,,2026-07-02 22:47:01,2026-07-06 06:35:00.963525+00:00
casarosada_50299-palabras-del-presidente-de-la-nacion-javier-milei-en-el-54-reunion-anual-del-foro-economico-mundial-de-davos,0,2,los líderes del mundo occidental,decirles,temor,Occidente está en peligro,el peligro de Occidente,potencial,disforico,"Se trata de una emoción de temor asociada a la noción de 'peligro', lo cual posee una valencia negativa.",cognoscitiva,El temor se deriva de una evaluación racional y un juicio sobre el estado actual de las cosas ('está en peligro porque...').,alta,El uso de la palabra 'peligro' repetida dos veces y el término 'inexorablemente' sugieren una magnitud fuerte y urgente.,durable,"No es una reacción instantánea, sino una condición persistente ligada a una visión del mundo que 'inexorablemente conduce al socialismo'.",sin_atribucion,No hay términos del campo léxico de la emoción (como 'temor' o 'miedo') atribuidos sintácticamente a los asistentes; el temor se infiere de la descripción de la situación de 'peligro'.,contemporanea,La emoción está proyectada sobre los asistentes presentes en el discurso ('estoy acá para decirles que Occidente está en peligro').,no_marcado,"No se presenta un desarrollo interno del estado emocional, sino una situación de riesgo constante.",v29,,transposicion_situacion_reconocimiento_potencial,sostenida,por_senales_entrada,miedo,True,,discurso_propio,El propio discurso del orador busca generar la emoción de temor en los asistentes al advertir sobre el peligro de Occidente.,False,,ausente,sin_evaluacion,"No se evalúa si el temor es adecuado o inadecuado según una norma, sino que se presenta como una respuesta lógica al peligro.",False,,ausente,sin_evaluacion,No se cuestiona ni se corrobora la autenticidad de la emoción sentida por los asistentes.,True,,activacion_emocional,El enunciador utiliza la advertencia 'Occidente está en peligro' para generar una reacción de temor inmediata en la audiencia.,False,afirmada,La emoción se predica positivamente como un estado que debe ocurrir o reconocerse ante la amenaza descrita ('está en peligro').,v29,,2026-07-02 22:47:01,2026-07-06 06:35:00.963691+00:00
casarosada_50299-palabras-del-presidente-de-la-nacion-javier-milei-en-el-54-reunion-anual-del-foro-economico-mundial-de-davos,2,0,Javier Milei,Lamentablemente,pesar,los principales líderes del mundo occidental,líderes del mundo occidental,realizada,disforico,"Presenta una tonalidad negativa de pesar o lamentación, marcada explícitamente por el adverbio 'Lamentablemente'.",cognoscitiva,"La emoción se despliega a través de un juicio evaluativo sobre las decisiones políticas y motivaciones ideológicas ('deseos bien pensantes', 'colectivismo').",baja,"Se presenta como una constatación melancólica o crítica, sin despliegues de fuerza exaltada o crisis disruptiva.",durable,El estado emocional se extiende a lo largo del análisis de un proceso histórico ('en las últimas décadas').,sin_atribucion,"No hay un término del campo léxico de la emoción (sustantivo, verbo o adjetivo) atribuido sintácticamente a un actor. El pesar se infiere del adverbio modal 'Lamentablemente'.",contemporanea,"Aunque refiere a décadas pasadas, el pesar es del enunciador en el momento del discurso sobre la situación actual del mundo.",imperfectivo,"Se describe una acción prolongada y habitual en el tiempo ('han abandonado'), sin un punto de cierre definido.",v29,,ordenado_alrededor_de_verbos_psicologicos,dicha,directa,tristeza,False,,ausente,No hay un vehículo externo; la emoción se expresa directamente a través del adverbio 'Lamentablemente' en el discurso del propio sujeto.,False,,ausente,sin_evaluacion,"No se invoca ninguna norma sociocultural, moral o política para juzgar si es correcto o incorrecto sentir pesar en este caso.",False,,ausente,sin_evaluacion,"El discurso no cuestiona ni corrobora la autenticidad del pesar, simplemente lo enuncia.",False,,ausente,"El discurso registra el pesar del experienciador, pero no hay una operación dirigida a modificar, inhibir o activar esa emoción en él mismo.",False,afirmada,La emoción se predica positivamente como un hecho ocurrido ('Lamentablemente').,v29,,2026-07-02 22:47:01,2026-07-06 06:35:00.963837+00:00
casarosada_50299-palabras-del-presidente-de-la-nacion-javier-milei-en-el-54-reunion-anual-del-foro-economico-mundial-de-davos,2,1,líderes del mundo occidental,los principales líderes del mundo occidental,altruismo,ayudar al prójimo,el prójimo,realizada,euforico,"El altruismo y el deseo de 'ayudar al prójimo' poseen una valencia positiva (esperanza/bondad), aunque el resultado sea juzgado negativamente por el orador.",cognoscitiva,"Se vincula a 'deseos bien pensantes', lo cual indica una motivación basada en una evaluación mental o ideal racionalizado.",baja,Se presenta como una motivación secundaria o superficial ('algunos deseos') frente a la acción principal de abandonar el modelo de libertad.,durable,"Se describe como una motivación que ha operado 'en las últimas décadas', extendiéndose en el tiempo sin estabilizarse.",sin_atribucion,"Aunque se menciona el 'deseo de querer ayudar', no hay un término del campo léxico de la emoción atribuido sintácticamente a los líderes (están 'motivados por', lo cual es una causa, no una atribución explícita de un estado emocional como 'sentían altruismo').",pasado_historico,Situada explícitamente en el periodo de 'las últimas décadas'.,no_marcado,"No presenta marcas gramaticales de inicio, fin o repetición en el segmento citado.",v29,,cualificacion_por_indicadores_cognitivos,mostrada,por_senales_salida,,False,,ausente,"El texto describe la motivación interna ('deseos bien pensantes') de los líderes, no un vehículo externo que transporte la emoción.",True,,norma_ideologica_o_politica,deslegitima,El adverbio 'Lamentablemente' y la estructura que vincula esos deseos con el abandono de la libertad desplazan la emoción a una categoría de error o consecuencia negativa.,False,,ausente,sin_evaluacion,"No se cuestiona si los líderes efectivamente sintieron altruismo, sino que se juzga el resultado de dicha motivación.",False,,ausente,"El discurso describe la causa de una acción pasada ('han abandonado el modelo'), pero no busca intervenir, activar o inhibir el altruismo de los líderes en el presente.",False,afirmada,Se predica positivamente la existencia de este deseo ('deseos bien pensantes de querer ayudar al prójimo').,v29,,2026-07-02 22:47:01,2026-07-06 06:35:00.963995+00:00
casarosada_50299-palabras-del-presidente-de-la-nacion-javier-milei-en-el-54-reunion-anual-del-foro-economico-mundial-de-davos,2,2,líderes del mundo occidental,los principales líderes del mundo occidental,ambición,pertenecer a una casta privilegiada,la casta privilegiada,realizada,disforico,"La tonalidad es negativa, enmarcada por el adverbio 'Lamentablemente' y el juicio crítico hacia el deseo de pertenecer a una 'casta privilegiada'.",cognoscitiva,"La ambición se presenta como un 'deseo de querer pertenecer', un proceso de voluntad y evaluación mental.",alta,"La fuerza es suficiente para provocar que los líderes 'han abandonado el modelo de la libertad', siendo la causa dominante de un cambio sistémico.",durable,"Se describe como un motor que ha impulsado acciones 'en las últimas décadas', extendiéndose en el tiempo.",hetero_atribucion,Se cumple (A) el uso de términos del campo léxico de la emoción ('deseo de querer') y (B) se atribuye sintácticamente a un actor ('los principales líderes del mundo occidental').,pasado_historico,Se sitúa explícitamente en un periodo anterior: 'en las últimas décadas'.,no_marcado,"No presenta una marca gramatical de fase (inicio, fin, repetición) específica en la frase.",v29,,cualificacion_por_indicadores_cognitivos,mostrada,por_senales_salida,,False,,ausente,"El discurso describe una motivación interna (deseo de pertenecer) que impulsa una acción, no hay un vehículo externo que transporte la emoción desde la fuente al experienciador.",True,,norma_ideologica_o_politica,deslegitima,El uso del adverbio 'Lamentablemente' y la asociación de la ambición con la 'casta privilegiada' evalúa negativamente la adecuación de este deseo.,False,,ausente,sin_evaluacion,"No se cuestiona si los líderes realmente sintieron el deseo, sino que se asume como el motivo fáctico de su accionar.",False,,ausente,"El enunciador describe la causa de una conducta pasada ('han abandonado'), pero no realiza una operación dirigida a modificar la ambición de los líderes en el presente.",False,afirmada,Se predica la existencia de este deseo como motor de una acción realizada: 'motivados por [...] el deseo de querer pertenecer a una casta'.,v29,,2026-07-02 22:47:01,2026-07-06 06:35:00.964176+00:00
casarosada_50299-palabras-del-presidente-de-la-nacion-javier-milei-en-el-54-reunion-anual-del-foro-economico-mundial-de-davos,3,0,Javier Milei y delegación argentina,Nosotros,rechazo,experimentos colectivistas,experimentos colectivistas,actual,disforico,"La tonalidad es negativa, asociada al 'rechazo' y la descalificación de los 'experimentos colectivistas'.",cognoscitiva,Se manifiesta como un juicio evaluativo y una conclusión lógica sobre la causalidad de los problemas ('son su causa').,alta,El uso del adverbio categórico 'nunca' y la inversión total de la función (de solución a 'causa') denotan una fuerza máxima en el rechazo.,permanente,El rechazo se plantea como una verdad axiomática y un rasgo constitutivo de la postura ideológica del enunciador ('estamos acá para decirles').,sin_atribucion,"No hay términos léxicos del campo emocional (ej. 'odiamos', 'detestamos') atribuidos sintácticamente a un sujeto; el rechazo se infiere de la valoración negativa de los experimentos colectivistas.",contemporanea,"Se enuncia en el presente ('estamos', 'son') y se dirige al auditorio actual del foro.",imperfectivo,"Se presenta como una condición habitual y constante ('nunca son la solución'), sin límites temporales definidos.",v29,,cualificacion_por_indicadores_axiologicos,mostrada,por_senales_salida,asco,False,,ausente,"El rechazo no es vehiculizado por un objeto o discurso externo, sino que es la postura inherente a los sujetos enunciadores frente a la fuente.",True,,norma_ideologica_o_politica,legitima,El rechazo se legitima mediante una norma ideológica/política: el colectivismo no es la solución sino la 'causa' de los problemas.,False,,ausente,sin_evaluacion,"No se cuestiona ni corrobora la autenticidad del sentimiento, sino que se argumenta sobre la validez de la postura.",False,,ausente,"El discurso afirma el rechazo como una posición ya tomada ('estamos... para decirles'), no busca modificar, inhibir o activar la emoción en el experienciador fijado, sino exponerla.",False,afirmada,El rechazo se predica positivamente como una postura vigente y firme ('estamos acá para decirles').,v29,,2026-07-02 22:47:01,2026-07-06 06:35:00.964321+00:00
casarosada_50299-palabras-del-presidente-de-la-nacion-javier-milei-en-el-54-reunion-anual-del-foro-economico-mundial-de-davos,3,1,Ciudadanos del mundo,ciudadanos del mundo,sufrimiento,"problemas, que aquejan",problemas,realizada,disforico,Se identifica una tonalidad negativa asociada al 'sufrimiento' y a los 'problemas'.,mixta,"El 'sufrimiento' implica una dimensión corporal (dolor/malestar) y una cognoscitiva (la percepción de los 'problemas' como causa), siguiendo la heurística de emociones de malestar general.",alta,El uso del verbo 'aquejan' (que implica afligir o causar tormento) sugiere una magnitud fuerte del malestar.,durable,"Se refiere a problemas estructurales causados por 'experimentos colectivistas', sugiriendo un estado que persiste a lo largo del tiempo y no un evento puntual.",sin_atribucion,"No hay un término del campo léxico de la emoción (ej. 'están tristes', 'sienten dolor') atribuido sintácticamente; el sufrimiento se infiere de la situación de ser 'aquejados' por 'problemas'.",contemporanea,"El verbo está en presente ('aquejan'), refiriéndose a la situación actual de los 'ciudadanos del mundo'.",imperfectivo,"El verbo 'aquejan' indica un estado en curso, una situación habitual y prolongada en el tiempo.",v29,,cualificacion_por_componentes_descriptivo_narrativos,sostenida,por_senales_entrada,,False,,ausente,"La fuente (experimentos colectivistas) afecta a la población mundial directamente como causa de sus problemas, sin un vehículo discursivo o material intermedio citado en la frase.",False,,ausente,sin_evaluacion,No hay una valoración sobre si es correcto o incorrecto sentir ese sufrimiento según una norma.,False,,ausente,sin_evaluacion,"El discurso no cuestiona ni corrobora la autenticidad del sentimiento, sino que lo presenta como un hecho derivado de una causa.",False,,ausente,"El discurso describe el sufrimiento como una consecuencia causal ('son su causa'), pero no realiza una operación dirigida a modificar, inhibir o activar esa emoción en la población mundial.",False,afirmada,"La frase afirma que los problemas 'aquejan' a los ciudadanos, predicando la existencia del sufrimiento.",v29,,2026-07-02 22:47:01,2026-07-06 06:35:00.964482+00:00
casarosada_50299-palabras-del-presidente-de-la-nacion-javier-milei-en-el-54-reunion-anual-del-foro-economico-mundial-de-davos,4,0,los argentinos,nosotros los argentinos,seguridad,testimonios de estas dos cuestiones,la experiencia histórica argentina respecto a las cuestiones mencionadas,actual,euforico,La seguridad y la autoafirmación de competencia ('nadie mejor que nosotros') poseen una valencia positiva y de orgullo.,cognoscitiva,La seguridad emana de un juicio evaluativo basado en el conocimiento y la experiencia ('nadie mejor que nosotros... para dar testimonios').,alta,El uso del superlativo 'nadie mejor' y el imperativo 'Créanme' denotan una convicción fuerte y dominante.,permanente,Se presenta como un rasgo constitutivo de la identidad colectiva y la historia del grupo ('nosotros los argentinos').,sin_atribucion,No hay términos del campo léxico de la emoción (como 'estamos seguros' o 'tenemos confianza') atribuidos sintácticamente a los actores; la seguridad se infiere de la valoración comparativa ('nadie mejor').,contemporanea,La seguridad se manifiesta en el presente de la enunciación y se proyecta sobre el auditorio ('Créanme').,no_marcado,"El verbo 'dar' no presenta una marca aspectual específica que indique inicio, cese o repetición.",v29,,cualificacion_por_indicadores_cognitivos,mostrada,por_senales_salida,confianza,True,,discurso_propio,El enunciador utiliza su propio discurso ('Créanme') y el acto de dar testimonio para vehiculizar la seguridad en el experienciador.,False,,ausente,sin_evaluacion,"No se invoca una norma ética, moral o jurídica para validar si es adecuado sentirse seguro.",False,,ausente,sin_evaluacion,"No se cuestiona ni se corrobora la autenticidad de la emoción, sino que se afirma una cualidad basada en la experiencia.",False,,ausente,"El discurso afirma una capacidad/estado de seguridad, pero no busca modificar, inhibir o activar la emoción en el experienciador en este segmento.",False,afirmada,Se predica positivamente la seguridad y capacidad de los argentinos ('nadie mejor que nosotros').,v29,,2026-07-02 22:47:01,2026-07-06 06:35:00.964623+00:00
casarosada_50299-palabras-del-presidente-de-la-nacion-javier-milei-en-el-54-reunion-anual-del-foro-economico-mundial-de-davos,5,0,ciudadanos argentinos,nuestros ciudadanos,sufrimiento,comenzaron a empobrecerse sistemáticamente,empobrecimiento sistemático,realizada,disforico,"La tonalidad es negativa, vinculada al 'sufrimiento' y al acto de 'empobrecerse'.",mixta,Es mixta porque el empobrecimiento implica una dimensión corporal/material (falta de recursos) y una cognoscitiva (evaluación de la caída al puesto 140).,alta,La magnitud es fuerte debido al adverbio 'sistemáticamente' y el resultado extremo ('caer en el puesto número 140').,durable,Se describe como un proceso extendido en el tiempo ('a lo largo de los últimos 100 años').,sin_atribucion,No hay términos del campo léxico de la emoción (no dice 'estaban tristes' o 'sintieron dolor'); el sufrimiento se infiere de la situación de 'empobrecerse'.,pasado_historico,"La emoción se sitúa en el periodo histórico de los 'últimos 100 años', previo al momento del discurso.",imperfectivo,"El verbo 'comenzaron a empobrecerse' indica un proceso en curso y progresivo, sin un límite cerrado.",v29,,cualificacion_por_componentes_descriptivo_narrativos,sostenida,por_senales_entrada,,False,,ausente,"El sufrimiento no es vehiculizado por un objeto o discurso, sino que es la consecuencia directa del proceso socioeconómico descrito ('empobrecerse sistemáticamente').",False,,ausente,sin_evaluacion,"No se hace un juicio sobre si es correcto o incorrecto sentir ese sufrimiento, sino que se expone la causa económica.",False,,ausente,sin_evaluacion,"No se cuestiona la autenticidad del sufrimiento ni se corrobora mediante evidencia empírica la emoción en sí, sino el hecho del empobrecimiento.",False,,ausente,"El discurso describe el proceso de empobrecimiento como un hecho histórico/causal, pero no realiza una operación dirigida a modificar la emoción de los argentinos en el presente.",False,afirmada,La emoción (sufrimiento derivado del empobrecimiento) se predica como un hecho ocurrido y real en la historia reciente.,v29,,2026-07-02 22:47:01,2026-07-06 06:35:00.964787+00:00
