codigo,unit_idx,frase,actores_payload,actores_version,actores_error,emociones_payload,emociones_version,emociones_error,emociones_pass2_payload,emociones_pass2_version,emociones_pass2_error,created_at,updated_at
casarosada_50299-palabras-del-presidente-de-la-nacion-javier-milei-en-el-54-reunion-anual-del-foro-economico-mundial-de-davos,0,"Palabras del Presidente de la Nación, Javier Milei, en la 54° Reunión Anual del Foro Económico Mundial, en Davos

Buenas tardes, muchas gracias: hoy estoy acá para decirles que Occidente está en peligro, está en peligro porque aquellos, que supuestamente deben defender los valores de Occidente, se encuentran cooptados por una visión del mundo que – inexorablemente – conduce al socialismo","[{""marca"": ""Javier Milei"", ""actor"": ""Javier Milei"", ""tipo"": ""humano_individual"", ""modo"": ""explicito"", ""justificacion"": ""Mencionado explícitamente como Presidente de la Nación.""}, {""marca"": ""Foro Económico Mundial"", ""actor"": ""Foro Económico Mundial"", ""tipo"": ""institucional"", ""modo"": ""explicito"", ""justificacion"": ""Institución que organiza la Reunión Anual en Davos.""}, {""marca"": ""Occidente"", ""actor"": ""Occidente"", ""tipo"": ""colectivo"", ""modo"": ""explicito"", ""justificacion"": ""Mencionado como un colectivo/entidad que está en peligro.""}, {""marca"": ""aquellos"", ""actor"": ""líderes u organizaciones encargadas de defender los valores occidentales"", ""tipo"": ""colectivo"", ""modo"": ""inferido"", ""justificacion"": ""Referencia anafórica ('aquellos') que remite a quienes tienen el rol de defender a Occidente.""}]",v22,,"[{""experienciador"": ""Javier Milei"", ""experienciador_marca"": ""estoy acá"", ""tipo_emocion"": ""preocupación"", ""fuente_marca"": ""Occidente está en peligro"", ""fuente_inferencia"": ""el peligro de Occidente"", ""modo_existencia"": ""realizada"", ""tipo_configuracion"": ""cualificacion_por_indicadores_axiologicos""}, {""experienciador"": ""Javier Milei"", ""experienciador_marca"": ""decirles"", ""tipo_emocion"": ""indignación"", ""fuente_marca"": ""se encuentran cooptados"", ""fuente_inferencia"": ""la cooptación de los defensores de Occidente"", ""modo_existencia"": ""realizada"", ""tipo_configuracion"": ""cualificacion_por_indicadores_axiologicos""}, {""experienciador"": ""los líderes del mundo occidental"", ""experienciador_marca"": ""decirles"", ""tipo_emocion"": ""temor"", ""fuente_marca"": ""Occidente está en peligro"", ""fuente_inferencia"": ""el peligro de Occidente"", ""modo_existencia"": ""potencial"", ""tipo_configuracion"": ""transposicion_situacion_reconocimiento_potencial""}]",v22,,,,,2026-06-24 08:56:08,2026-07-02 21:26:26.362697+00:00
casarosada_50299-palabras-del-presidente-de-la-nacion-javier-milei-en-el-54-reunion-anual-del-foro-economico-mundial-de-davos,1,en consecuencia a la pobreza.,"[{""marca"": ""pobreza"", ""actor"": ""personas en situación de pobreza"", ""tipo"": ""colectivo"", ""modo"": ""inferido"", ""justificacion"": ""La nominalización 'pobreza' permite inferir a los sujetos que experimentan dicha condición como pacientes.""}]",v22,,[],v22,,,,,2026-06-24 08:56:08,2026-07-02 21:26:26.362858+00:00
casarosada_50299-palabras-del-presidente-de-la-nacion-javier-milei-en-el-54-reunion-anual-del-foro-economico-mundial-de-davos,2,"Lamentablemente en las últimas décadas, motivados por algunos deseos bien pensantes de querer ayudar al prójimo y otros por el deseo de querer pertenecer a una casta privilegiada, los principales líderes del mundo occidental han abandonado el modelo de la libertad, por distintas versiones, de lo que llamamos colectivismo.","[{""marca"": ""los principales líderes del mundo occidental"", ""actor"": ""líderes del mundo occidental"", ""tipo"": ""colectivo"", ""modo"": ""explicito"", ""justificacion"": ""Mencionados explícitamente como los sujetos que abandonaron el modelo de libertad.""}, {""marca"": ""una casta privilegiada"", ""actor"": ""casta privilegiada"", ""tipo"": ""colectivo"", ""modo"": ""explicito"", ""justificacion"": ""Mencionada explícitamente como el grupo al que algunos líderes desean pertenecer.""}, {""marca"": ""el prójimo"", ""actor"": ""prójimo"", ""tipo"": ""humano_individual"", ""modo"": ""explicito"", ""justificacion"": ""Mencionado explícitamente como el sujeto receptor de la ayuda deseada.""}]",v22,,"[{""experienciador"": ""Javier Milei"", ""experienciador_marca"": ""Lamentablemente"", ""tipo_emocion"": ""pesar"", ""fuente_marca"": ""los principales líderes del mundo occidental"", ""fuente_inferencia"": ""líderes del mundo occidental"", ""modo_existencia"": ""realizada"", ""tipo_configuracion"": ""ordenado_alrededor_de_verbos_psicologicos""}, {""experienciador"": ""líderes del mundo occidental"", ""experienciador_marca"": ""los principales líderes del mundo occidental"", ""tipo_emocion"": ""altruismo"", ""fuente_marca"": ""ayudar al prójimo"", ""fuente_inferencia"": ""el prójimo"", ""modo_existencia"": ""realizada"", ""tipo_configuracion"": ""cualificacion_por_indicadores_cognitivos""}, {""experienciador"": ""líderes del mundo occidental"", ""experienciador_marca"": ""los principales líderes del mundo occidental"", ""tipo_emocion"": ""ambición"", ""fuente_marca"": ""pertenecer a una casta privilegiada"", ""fuente_inferencia"": ""la casta privilegiada"", ""modo_existencia"": ""realizada"", ""tipo_configuracion"": ""cualificacion_por_indicadores_cognitivos""}]",v22,,,,,2026-06-24 08:56:08,2026-07-02 21:26:26.362978+00:00
casarosada_50299-palabras-del-presidente-de-la-nacion-javier-milei-en-el-54-reunion-anual-del-foro-economico-mundial-de-davos,3,"Nosotros estamos, acá, para decirles que los experimentos colectivistas nunca son la solución a los problemas, que aquejan a los ciudadanos del mundo, sino que – por el contrario – son su causa.","[{""marca"": ""Nosotros"", ""actor"": ""Javier Milei y delegación argentina"", ""tipo"": ""colectivo"", ""modo"": ""inferido"", ""justificacion"": ""El pronombre 'Nosotros' hace referencia al enunciador y su equipo.""}, {""marca"": ""les"", ""actor"": ""Asistentes al Foro Económico Mundial de Davos"", ""tipo"": ""colectivo"", ""modo"": ""inferido"", ""justificacion"": ""El pronombre 'les' en 'decirles' se refiere a los interlocutores presentes en el evento.""}, {""marca"": ""experimentos colectivistas"", ""actor"": ""Promotores de políticas colectivistas"", ""tipo"": ""colectivo"", ""modo"": ""inferido"", ""justificacion"": ""La nominalización 'experimentos colectivistas' implica la existencia de sujetos agentes que diseñan y aplican dichos experimentos.""}, {""marca"": ""los ciudadanos del mundo"", ""actor"": ""Ciudadanos del mundo"", ""tipo"": ""colectivo"", ""modo"": ""explicito"", ""justificacion"": ""Mención literal de las personas afectadas por los problemas mencionados.""}]",v22,,"[{""experienciador"": ""Javier Milei y delegación argentina"", ""experienciador_marca"": ""Nosotros"", ""tipo_emocion"": ""rechazo"", ""fuente_marca"": ""experimentos colectivistas"", ""fuente_inferencia"": ""experimentos colectivistas"", ""modo_existencia"": ""actual"", ""tipo_configuracion"": ""cualificacion_por_indicadores_axiologicos""}, {""experienciador"": ""Ciudadanos del mundo"", ""experienciador_marca"": ""ciudadanos del mundo"", ""tipo_emocion"": ""sufrimiento"", ""fuente_marca"": ""problemas, que aquejan"", ""fuente_inferencia"": ""problemas"", ""modo_existencia"": ""realizada"", ""tipo_configuracion"": ""cualificacion_por_componentes_descriptivo_narrativos""}]",v22,,,,,2026-06-24 08:56:08,2026-07-02 21:26:26.363121+00:00
casarosada_50299-palabras-del-presidente-de-la-nacion-javier-milei-en-el-54-reunion-anual-del-foro-economico-mundial-de-davos,4,"Créanme, nadie mejor que nosotros los argentinos para dar testimonios de estas dos cuestiones.","[{""marca"": ""nosotros los argentinos"", ""actor"": ""argentinos"", ""tipo"": ""colectivo"", ""modo"": ""explicito"", ""justificacion"": ""Mencionado explícitamente como el grupo que puede dar testimonios.""}]",v22,,"[{""experienciador"": ""los argentinos"", ""experienciador_marca"": ""nosotros los argentinos"", ""tipo_emocion"": ""seguridad"", ""fuente_marca"": ""testimonios de estas dos cuestiones"", ""fuente_inferencia"": ""la experiencia histórica argentina respecto a las cuestiones mencionadas"", ""modo_existencia"": ""actual"", ""tipo_configuracion"": ""cualificacion_por_indicadores_cognitivos""}]",v22,,,,,2026-06-24 08:56:08,2026-07-02 21:26:26.363255+00:00
casarosada_50299-palabras-del-presidente-de-la-nacion-javier-milei-en-el-54-reunion-anual-del-foro-economico-mundial-de-davos,5,"Cuando adoptamos el modelo de la libertad – allá por el año 1860 – en 35 años nos convertimos en la primera potencia mundial, mientras que cuando abrazamos el colectivismo, a lo largo de los últimos 100 años, vimos como nuestros ciudadanos comenzaron a empobrecerse sistemáticamente, hasta caer en el puesto número 140 del mundo.","[{""marca"": ""adoptamos"", ""actor"": ""Argentina"", ""tipo"": ""institucional"", ""modo"": ""inferido"", ""justificacion"": ""El uso de la primera persona del plural ('adoptamos', 'nos convertimos', 'abrazamos', 'vimos') en un discurso político se refiere al país como entidad colectiva.""}, {""marca"": ""nuestros ciudadanos"", ""actor"": ""ciudadanos argentinos"", ""tipo"": ""colectivo"", ""modo"": ""explicito"", ""justificacion"": ""Se menciona explícitamente a los ciudadanos que sufren el proceso de empobrecimiento.""}]",v22,,"[{""experienciador"": ""ciudadanos argentinos"", ""experienciador_marca"": ""nuestros ciudadanos"", ""tipo_emocion"": ""sufrimiento"", ""fuente_marca"": ""comenzaron a empobrecerse sistemáticamente"", ""fuente_inferencia"": ""empobrecimiento sistemático"", ""modo_existencia"": ""realizada"", ""tipo_configuracion"": ""cualificacion_por_componentes_descriptivo_narrativos""}, {""experienciador"": ""Javier Milei"", ""experienciador_marca"": ""vimos"", ""tipo_emocion"": ""indignación"", ""fuente_marca"": ""caer en el puesto número 140"", ""fuente_inferencia"": ""caída en el ranking mundial"", ""modo_existencia"": ""actual"", ""tipo_configuracion"": ""cualificacion_por_indicadores_axiologicos""}]",v22,,,,,2026-06-24 08:56:08,2026-07-02 21:26:26.363367+00:00
casarosada_50299-palabras-del-presidente-de-la-nacion-javier-milei-en-el-54-reunion-anual-del-foro-economico-mundial-de-davos,6,"Pero antes de poder dar esta discusión será importante, que – primero – viéramos los datos que sustentan por qué no sólo el capitalismo de libre empresa no sólo es un sistema posible para terminar con la pobreza, del mundo, sino que es el único sistema – moralmente deseable – para lograrlo.","[{""marca"": ""viéramos"", ""actor"": ""Javier Milei"", ""tipo"": ""humano_individual"", ""modo"": ""inferido"", ""justificacion"": ""El verbo 'viéramos' indica un sujeto inclusivo donde el enunciador (Milei) participa.""}, {""marca"": ""viéramos"", ""actor"": ""Audiencia del Foro Económico Mundial"", ""tipo"": ""colectivo"", ""modo"": ""inferido"", ""justificacion"": ""El verbo 'viéramos' implica que el enunciador se dirige a un grupo con quien comparte la acción de analizar datos.""}, {""marca"": ""pobreza"", ""actor"": ""personas en situación de pobreza"", ""tipo"": ""colectivo"", ""modo"": ""inferido"", ""justificacion"": ""El sustantivo 'pobreza' es una nominalización que remite a quienes experimentan esa condición.""}]",v22,,"[{""experienciador"": ""Javier Milei"", ""experienciador_marca"": ""viéramos"", ""tipo_emocion"": ""convicción"", ""fuente_marca"": ""capitalismo de libre empresa"", ""fuente_inferencia"": ""capitalismo de libre empresa"", ""modo_existencia"": ""actual"", ""tipo_configuracion"": ""cualificacion_por_indicadores_axiologicos""}]",v22,,,,,2026-06-24 08:56:08,2026-07-02 21:26:26.363494+00:00
casarosada_50299-palabras-del-presidente-de-la-nacion-javier-milei-en-el-54-reunion-anual-del-foro-economico-mundial-de-davos,7,"Si consideramos la historia del progreso económico podemos ver cómo desde el año cero hasta el año 1800, aproximadamente, el PBI per cápita del mundo, prácticamente, se mantuvo constante durante todo el período de referencia.","[{""marca"": ""consideramos"", ""actor"": ""Javier Milei"", ""tipo"": ""humano_individual"", ""modo"": ""inferido"", ""justificacion"": ""El verbo 'consideramos' y 'podemos ver' en primera persona del plural incluye al enunciador.""}, {""marca"": ""PBI per cápita del mundo"", ""actor"": ""población mundial"", ""tipo"": ""colectivo"", ""modo"": ""inferido"", ""justificacion"": ""El concepto de 'PBI per cápita del mundo' implica la existencia de los habitantes del planeta como sujetos económicos.""}]",v22,,[],v22,,,,,2026-06-24 08:56:08,2026-07-02 21:26:26.363593+00:00
casarosada_50299-palabras-del-presidente-de-la-nacion-javier-milei-en-el-54-reunion-anual-del-foro-economico-mundial-de-davos,8,"Si uno mira un gráfico de la evolución del crecimiento económico, a lo largo de la historia de la humanidad, uno estaría viendo un gráfico con la forma de un palo de hockey, una función exponencial, que se mantuvo constante, durante el 90 por ciento del tiempo, y se dispara exponencialmente a partir del siglo XIX.","[{""marca"": ""uno"", ""actor"": ""persona general / observador"", ""tipo"": ""humano_individual"", ""modo"": ""explicito"", ""justificacion"": ""El pronombre 'uno' funciona como un sujeto genérico que realiza la acción de mirar el gráfico.""}, {""marca"": ""la humanidad"", ""actor"": ""seres humanos"", ""tipo"": ""colectivo"", ""modo"": ""explicito"", ""justificacion"": ""La expresión 'historia de la humanidad' refiere al colectivo humano como sujeto del proceso histórico.""}]",v22,,[],v22,,,,,2026-06-24 08:56:08,2026-07-02 21:26:26.363707+00:00
casarosada_50299-palabras-del-presidente-de-la-nacion-javier-milei-en-el-54-reunion-anual-del-foro-economico-mundial-de-davos,9,"La única excepción a esta historia de estancamiento se dio a finales del siglo XV, con el descubrimiento de América.","[{""marca"": ""descubrimiento"", ""actor"": ""exploradores y conquistadores europeos"", ""tipo"": ""colectivo"", ""modo"": ""inferido"", ""justificacion"": ""La nominalización 'descubrimiento' implica la existencia de agentes que realizaron dicha acción.""}]",v22,,[],v22,,,,,2026-06-24 08:56:08,2026-07-02 21:26:26.363803+00:00
