codigo,recorte_id,posicion,frase
DISCURSO_001,DISCURSO_001_FR_001,1,"En primer lugar, quiero saludar y felicitar a la Bolsa de Comercio de Rosario por este 141° aniversario, así que felicitaciones por eso."
DISCURSO_001,DISCURSO_001_FR_002,2,"Por otra parte, también deseo dar las gracias por haberme invitado a esta disertación; me llena de orgullo y de honor poder estar aquí y poder conversar con ustedes sobre un tema que yo creo que es importante y que hay mucho debate hoy, que es la volatilidad de la tasa de interés."
DISCURSO_001,DISCURSO_001_FR_003,3,"Por lo tanto, la idea que yo tengo hoy, obviamente va a ser una charla acorde a este auditorio, que es un auditorio técnico, y voy a estar explicando cómo nosotros vemos el tema de la tasa de interés."
DISCURSO_001,DISCURSO_001_FR_004,4,"Para poder llegar a eso, voy a hacer un breve repaso de cómo nosotros entendemos el problema del dinero y los precios; después de eso vamos a hablar sobre cómo vemos la cuestión del tipo de cambio; después ahí sí ya entramos en la cuestión de la tasa de interés; y la última parte de la presentación es la aplicación al caso argentino y cómo estamos pensando los problemas monetarios, cómo estamos pensando el problema de la tasa de interés a la luz de un año electoral."
DISCURSO_001,DISCURSO_001_FR_005,5,"En este sentido, lo primero que nosotros vamos a señalar es que nosotros nuestro enfoque, respecto a lo que tiene que ver con el dinero y los precios, es un verdadero enfoque de equilibrio general."
DISCURSO_001,DISCURSO_001_FR_006,6,Hay algunos economistas que creen que poner un sistema de ecuaciones es un sistema de equilibrio general.
DISCURSO_001,DISCURSO_001_FR_007,7,No todos los sistemas de ecuaciones son modelos de equilibrio general.
DISCURSO_001,DISCURSO_001_FR_008,8,"La diferencia fundamental del enfoque de equilibrio general es que uno trabaja con los micro fundamentos y, en ese sentido, resulta de vital importancia entender el origen del dinero."
DISCURSO_001,DISCURSO_001_FR_009,9,"Por lo tanto, lo primero que hay que entender es, cómo sería una economía sin dinero y eso también lo hemos estudiado fuertemente, que es lo que se conoce como la economía de intercambio puro, también economía de trueque."
DISCURSO_001,DISCURSO_001_FR_010,10,"Ahora, el problema con una economía de trueque, es que básicamente ustedes tienen dos grandes dificultades y esas dificultades son tan importantes que pueden llegar a terminar de eliminar los intercambios y eso genera una tremenda pérdida de bienestar."
DISCURSO_001,DISCURSO_001_FR_011,11,"El primer problema que encuentra una economía de trueque o de intercambio puro, es lo que se llama la doble coincidencia, es decir, yo puedo querer comer pan, sí y necesito que un panadero quiera una conferencia de economía."
DISCURSO_001,DISCURSO_001_FR_012,12,"Eso tiene alguna dificultad, pero supongamos entonces ahora que resolvemos este problema de la doble coincidencia, es decir, que yo quiero vender mi conferencia, que alguien la quiere comprar, yo quiero comprar pan y alguien quiere recibir a cambio una conferencia."
DISCURSO_001,DISCURSO_001_FR_013,13,"Hay un problema de indivisibilidad, es decir, quizás la cantidad de kilos de pan que representa una conferencia no sería básicamente viable o hay un problema de indivisibilidad, porque la verdad que por un kilo de pan quizás le digo, no sé, viva la libertad carajo, pero entonces lo que quiero decir es que entonces, aparece ese problema de la indivisibilidad o que ustedes de repente se quieran comprar un auto."
DISCURSO_001,DISCURSO_001_FR_014,14,"Entonces, cuántas conferencias y entonces, son todas transacciones que se pierden."
DISCURSO_001,DISCURSO_001_FR_015,15,"Naturalmente, el hombre no se puso a llorar porque la economía de trueque era bastante compleja en esos términos."
DISCURSO_001,DISCURSO_001_FR_016,16,¿Qué es lo que hizo?
DISCURSO_001,DISCURSO_001_FR_017,17,"Buscó una forma de poder realizar los intercambios, o sea, básicamente así aparecieron todos los que eran los tipos de dinero mercancía."
DISCURSO_001,DISCURSO_001_FR_018,18,"Recuerden, por ejemplo, el primer dinero que usó el ser humano fue el ganado."
DISCURSO_001,DISCURSO_001_FR_019,19,¿Por qué?
DISCURSO_001,DISCURSO_001_FR_020,20,"Porque viajaba con el ganado, el hombre nómade, entonces usaba el ganado como moneda."
DISCURSO_001,DISCURSO_001_FR_021,21,"Ahora, cuando el hombre se volvió sedentario empezó a usar otro tipo de bienes que tenían muchísimo más intercambio, por ejemplo, uno de ellos fue el trigo."
DISCURSO_001,DISCURSO_001_FR_022,22,"Y de repente no es porque quería trigo per se, sino que compraba trigo para con ese trigo poder comprar otras cosas."
DISCURSO_001,DISCURSO_001_FR_023,23,"Es decir, aparece esta noción del bien de intercambio indirecto."
DISCURSO_001,DISCURSO_001_FR_024,24,En este mismo sentido tenemos el caso de la sal.
DISCURSO_001,DISCURSO_001_FR_025,25,"El caso de la sal es muy interesante porque fíjense que la tradición de no pasar el salero en la mano y que si se cae la sal es mala suerte, básicamente es porque cuando ustedes hacían esas transacciones, ¿qué es lo que pasa?"
DISCURSO_001,DISCURSO_001_FR_026,26,"Si ustedes manipulaban el saco y se caía, tenían una pérdida de capital instantánea."
