actor,tipo,modo,justificacion,frase_idx,recorte_id,codigo
Bolsa de Comercio de Rosario,institucional,explícito,Mencionado explícitamente como destinatario de saludo y felicitación,0,DISCURSO_001_FR_001,DISCURSO_001
economistas,colectivo,explícito,"La frase menciona explícitamente ""algunos economistas"" como sujeto que cree.",5,DISCURSO_001_FR_006,DISCURSO_001
uno,humano_individual,explícito,pronombre personal que indica un actor genérico,7,DISCURSO_001_FR_008,DISCURSO_001
panadero,humano_individual,explícito,"referido explícitamente en la frase ""un panadero""",10,DISCURSO_001_FR_011,DISCURSO_001
alguien,humano_individual,inferido,"Pronombre 'alguien' se refiere a una persona no nombrada, por lo tanto se infiere como actor.",11,DISCURSO_001_FR_012,DISCURSO_001
el hombre,humano_individual,explícito,El sujeto explícito 'el hombre' aparece en la frase.,14,DISCURSO_001_FR_015,DISCURSO_001
el hombre,humano_individual,inferido,El sujeto de la acción 'hizo' se infiere del contexto previo donde se menciona 'el hombre' como sujeto de la oración anterior.,15,DISCURSO_001_FR_016,DISCURSO_001
el ser humano,humano_individual,inferido,El sujeto de la acción 'hizo' también se refiere a 'el ser humano' mencionado en la oración posterior.,15,DISCURSO_001_FR_016,DISCURSO_001
el hombre,humano_individual,inferido,"El sujeto de la oración es elíptico; el contexto previo menciona 'el hombre', por lo que se infiere que él es quien buscó la forma de realizar los intercambios.",16,DISCURSO_001_FR_017,DISCURSO_001
el ser humano,colectivo,explícito,explicitly mentioned in the phrase,17,DISCURSO_001_FR_018,DISCURSO_001
ser humano,colectivo,inferido,"inferred from context: the question ""¿por qué?"" refers to the preceding statement about the first money used by the ser humano",18,DISCURSO_001_FR_019,DISCURSO_001
el hombre nómade,humano_individual,explícito,explicitly mentioned as the subject of the sentence,19,DISCURSO_001_FR_020,DISCURSO_001
el hombre,humano_individual,explícito,"El sujeto de la oración ""empezó a usar"".",20,DISCURSO_001_FR_021,DISCURSO_001
el hombre,humano_individual,inferido,El sujeto implícito del verbo 'compraba' se infiere del contexto previo que menciona 'el hombre' como el agente que utiliza el trigo como medio de intercambio.,21,DISCURSO_001_FR_022,DISCURSO_001
accionistas,colectivo,inferido,El pronombre indirecto 'les' y la referencia a 'tenían una acción' indican que el grupo que posee la acción es el que experimenta la caída de 20.,26,DISCURSO_001_FR_027,DISCURSO_001
personas de edad similar a la del hablante,colectivo,inferido,"El pronombre 'aquellos' se refiere a un grupo de personas con edad similar a la del hablante, inferido por la frase 'aquellos que tienen una edad como la mía o un poco más'.",28,DISCURSO_001_FR_029,DISCURSO_001
consumidores,colectivo,inferido,"El consumo es realizado por consumidores, que son los responsables de la demanda de dinero; la frase indica que la demanda de dinero depende del consumo, implicando que los consumidores son los actores que generan dicha demanda.",34,DISCURSO_001_FR_035,DISCURSO_001
empresas de ocio,colectivo,inferido,"La frase contiene la nominalización 'la venta de ocio', cuyo agente implícito se infiere como las empresas que realizan dicha venta.",45,DISCURSO_001_FR_046,DISCURSO_001
empresas de la economía,colectivo,explícito,El texto menciona explícitamente 'empresas de la economía' como destinatario de la participación y fuente de beneficios.,45,DISCURSO_001_FR_046,DISCURSO_001
empresa de la economía,colectivo,explícito,"El texto menciona explícitamente 'la empresa de la economía' en la expresión 'los beneficios de la empresa de la economía', indicando su participación en la dinámica.",45,DISCURSO_001_FR_046,DISCURSO_001
economista,humano_individual,explícito,El sustantivo 'economista' aparece directamente en la frase objetivo.,50,DISCURSO_001_FR_051,DISCURSO_001
sector privado,colectivo,explícito,explicitly mentioned as the entity that captures benefits,63,DISCURSO_001_FR_064,DISCURSO_001
los que asumen una economía de propiedad privada,colectivo,inferido,"subject of the conditional clause 'si asumen', inferred as actors who adopt a private property economy",63,DISCURSO_001_FR_064,DISCURSO_001
Robert Lucas Jr.,humano_individual,explícito,Nombre propio mencionado directamente en la frase objetivo.,64,DISCURSO_001_FR_065,DISCURSO_001
los teóricos cuantitativistas,colectivo,explícito,"El sujeto de la oración es explícitamente mencionado como ""los teóricos cuantitativistas"".",65,DISCURSO_001_FR_066,DISCURSO_001
nosotros,colectivo,explícito,Pronombre personal que indica el grupo del hablante.,74,DISCURSO_001_FR_075,DISCURSO_001
el gobierno,institucional,explícito,Noun phrase indicating the institution that the speaker arrived at.,74,DISCURSO_001_FR_075,DISCURSO_001
Toto Caputo,humano_individual,explícito,"explicitly mentioned as ""el señor toto caputo"" en la frase objetivo",76,DISCURSO_001_FR_077,DISCURSO_001
Gobierno,institucional,inferido,"El verbo 'lo logramos' indica que el sujeto que realizó la acción es el grupo que incluye al presidente, es decir, el gobierno o la administración.",77,DISCURSO_001_FR_078,DISCURSO_001
nosotros,colectivo,explícito,El pronombre 'nosotros' aparece directamente en la frase y se refiere al grupo que incluye al hablante y a otros miembros del gobierno.,78,DISCURSO_001_FR_079,DISCURSO_001
el gobierno,institucional,inferido,"El verbo 'hicimos' en primera persona plural indica que la acción fue realizada por el grupo del gobierno, no por el enunciador individual.",79,DISCURSO_001_FR_080,DISCURSO_001
