actor,tipo,modo,justificacion,recorte_id,codigo
oficiales de las tres fuerzas militares,colectivo,explícito,explicitly mentioned as the audience of the speech,DISCURSO_048_FR_001,DISCURSO_048
Nahuel Gallo,humano_individual,explícito,Mencionado explícitamente en la frase objetivo como objeto del secuestro.,DISCURSO_048_FR_002,DISCURSO_048
Fuerzas de seguridad,colectivo,inferido,"La frase indica un secuestro ilegal; el contexto posterior menciona que fue detenido por las fuerzas de seguridad a cargo de Nicolás Maduro, lo que permite inferir que las fuerzas de seguridad fueron los responsables del secuestro.",DISCURSO_048_FR_002,DISCURSO_048
Nicolás Maduro,humano_individual,inferido,"El contexto menciona a Nicolás Maduro como el dictador criminal responsable de la detención de Nahuel Gallo, lo que permite inferir su participación como autor del secuestro.",DISCURSO_048_FR_002,DISCURSO_048
las fuerzas de seguridad,colectivo,explícito,Mencionado explícitamente como agente que detuvo,DISCURSO_048_FR_003,DISCURSO_048
nicolás maduro,humano_individual,explícito,Mencionado explícitamente como dictador criminal a cargo de las fuerzas de seguridad,DISCURSO_048_FR_003,DISCURSO_048
la persona detenida,humano_individual,inferido,Sujeto pasivo de la oración 'fue detenido' y referenciado por el pronombre 'su' en 'su pareja y su hijo',DISCURSO_048_FR_003,DISCURSO_048
Nahuel Gallo,humano_individual,inferido,se refiere a 'su liberación' y 'devolverlo' en contexto del secuestro de Nahuel Gallo,DISCURSO_048_FR_004,DISCURSO_048
Argentina,institucional,explícito,se menciona directamente como 'la argentina' en la frase,DISCURSO_048_FR_004,DISCURSO_048
Luis Petri,humano_individual,explícito,El nombre del ministro de defensa aparece directamente en la frase.,DISCURSO_048_FR_005,DISCURSO_048
Jefes del Estado Mayor Conjunto,colectivo,explícito,"La expresión ""señores jefes del estado mayor conjunto"" se menciona explícitamente.",DISCURSO_048_FR_005,DISCURSO_048
Estados Mayores Generales de las Fuerzas Armadas,colectivo,explícito,"La frase incluye ""los estados mayores generales de las fuerzas armadas"" de forma explícita.",DISCURSO_048_FR_005,DISCURSO_048
Integrantes del Poder Ejecutivo Nacional presentes,colectivo,explícito,"Se menciona directamente ""los integrantes del poder ejecutivo nacional presentes"".",DISCURSO_048_FR_005,DISCURSO_048
Nuevos egresados en nuestras tres fuerzas,colectivo,explícito,"La frase indica explícitamente ""los nuevos egresados en nuestras tres fuerzas"".",DISCURSO_048_FR_005,DISCURSO_048
Subtenientes,colectivo,explícito,"Se menciona directamente ""subtenientes"" como parte de los egresados.",DISCURSO_048_FR_005,DISCURSO_048
Guardiamarinas,colectivo,explícito,"Se menciona directamente ""guardiamarinas"" como parte de los egresados.",DISCURSO_048_FR_005,DISCURSO_048
Alféreces,colectivo,explícito,"Se menciona directamente ""alféreces"" como parte de los egresados.",DISCURSO_048_FR_005,DISCURSO_048
Fuerzas Armadas,institucional,inferido,"La expresión ""nuestras tres fuerzas"" se refiere a las Fuerzas Armadas, inferido por el contexto militar.",DISCURSO_048_FR_005,DISCURSO_048
"nuevos egresados de las tres fuerzas (subtenientes, guardiamarinas y alféreces)",colectivo,explícito,"El discurso menciona explícitamente a ""los nuevos egresados en nuestras tres fuerzas: subtenientes, guardiamarinas y alféreces"" antes de la frase objetivo.",DISCURSO_048_FR_006,DISCURSO_048
personas que acompañaron a los egresados,colectivo,explícito,"La frase ""también a todos aquellos que han venido a acompañarlos"" se refiere a un grupo de personas que han venido a acompañar a los egresados, por lo que son actores explícitos en la oración.",DISCURSO_048_FR_006,DISCURSO_048
los graduados,colectivo,explícito,"La frase menciona directamente a ""los graduados"" como destinatarios del discurso.",DISCURSO_048_FR_008,DISCURSO_048
graduados,colectivo,explícito,"El pronombre 'ustedes' en la frase indica el sujeto que ha finalizado la formación básica, refiriéndose a los graduados.",DISCURSO_048_FR_009,DISCURSO_048
graduados,colectivo,inferido,"Pronombres 'su' y 'les' refer to the graduates addressed in the speech; the phrase describes their transition from student life to professional life, implying they are the actors experiencing the actions.",DISCURSO_048_FR_010,DISCURSO_048
graduados,colectivo,inferido,El pronombre 'su' y 'sus' en la frase se refieren a los graduados mencionados en el contexto previo; el sujeto tácito del verbo 'termina' se infiere como los graduados que experimentan la etapa.,DISCURSO_048_FR_011,DISCURSO_048
graduados,colectivo,inferido,"El pronombre indirecto 'les' se refiere a los graduados del Colegio Militar, según el contexto previo.",DISCURSO_048_FR_012,DISCURSO_048
héroes emancipadores,colectivo,explícito,"La frase menciona explícitamente 'nuestros héroes emancipadores', identificando a este colectivo como fuente de los principios y valores.",DISCURSO_048_FR_012,DISCURSO_048
nuevos oficiales,colectivo,inferido,"Pronombres y correferencias: 'los' refers to the recipients of the sables, i.e., the new officers; context indicates they are the graduates.",DISCURSO_048_FR_013,DISCURSO_048
nuevos oficiales,colectivo,inferido,El pronombre indirecto 'les' y el pronombre directo 'los' en la frase se refieren al grupo de nuevos oficiales mencionado en el contexto previo (entrega de sables). La acción de tomar el juramento se dirige a ellos.,DISCURSO_048_FR_014,DISCURSO_048
nación,institucional,inferido,"La expresión 'servicio a la nación' indica que la nación es el receptor de la acción de servicio, por lo que se considera un actor institucional que experimenta la acción.",DISCURSO_048_FR_014,DISCURSO_048
militares graduados,colectivo,inferido,"El imperativo ""recuerden"" y ""graben"" dirige a los destinatarios del discurso, que son los militares graduados presentes en el Colegio Militar.",DISCURSO_048_FR_015,DISCURSO_048
el país,colectivo,explícito,"La frase ""como país"" hace referencia explícita al país como colectivo que atraviesa el momento histórico.",DISCURSO_048_FR_018,DISCURSO_048
la casta política,colectivo,explícito,"El término ""la casta política"" aparece directamente en la frase objetivo como agente que impuso la realidad.",DISCURSO_048_FR_019,DISCURSO_048
todos los argentinos,colectivo,explícito,"La expresión ""todos los argentinos"" se menciona explícitamente en la frase objetivo como receptores de la realidad impuesta.",DISCURSO_048_FR_019,DISCURSO_048
la casta,colectivo,explícito,"El término ""la casta"" aparece directamente en la frase objetivo, indicando un grupo colectivo de políticos.",DISCURSO_048_FR_020,DISCURSO_048
la política,colectivo,explícito,"La expresión ""la política"" se menciona explícitamente como parte de la relación fracturada.",DISCURSO_048_FR_020,DISCURSO_048
nuestras queridas fuerzas armadas,colectivo,explícito,"La frase incluye ""nuestras queridas fuerzas armadas"" como el otro elemento de la relación fracturada.",DISCURSO_048_FR_020,DISCURSO_048
la casta política,colectivo,inferido,"El pronombre 'los mismos' se refiere a la casta política, que se menciona en el contexto como el grupo que habla de soberanía y que se dedica a desprestigiar las fuerzas.",DISCURSO_048_FR_021,DISCURSO_048
las fuerzas armadas,colectivo,inferido,"El objeto 'nuestras fuerzas' se refiere a las fuerzas armadas argentinas, mencionado en el discurso como el grupo que se desprestigia.",DISCURSO_048_FR_021,DISCURSO_048
la casta,colectivo,inferido,sujeto tácito del verbo 'lograron' inferido del contexto previo que menciona 'la casta' como responsable de fracturar la relación entre la política y las fuerzas armadas.,DISCURSO_048_FR_022,DISCURSO_048
la sociedad,colectivo,explícito,mencionada explícitamente en la frase como 'la sociedad' que tiene el afecto persistente.,DISCURSO_048_FR_022,DISCURSO_048
las fuerzas armadas argentinas,institucional,explícito,mencionadas explícitamente en la frase como objeto del afecto.,DISCURSO_048_FR_022,DISCURSO_048
Gobierno,institucional,inferido,"El pronombre 'nosotros' en el discurso del presidente se refiere al gobierno que él representa, ya que el enunciador es el presidente y el grupo que incluye a la institución gubernamental.",DISCURSO_048_FR_023,DISCURSO_048
Fuerzas Armadas,colectivo,explícito,El término 'nuestras fuerzas' se menciona explícitamente en la frase.,DISCURSO_048_FR_023,DISCURSO_048
