experienciador,tipo_emocion,modo_existencia,justificacion,recorte_id,codigo
personas que acompañaron a los egresados,gratitud,realizada,"El discurso reconoce a los acompañantes con la frase ""también a todos aquellos que han venido a acompañarlos en esta inolvidable jornada"", lo que implica una expresión de agradecimiento y gratitud hacia ellos.",DISCURSO_048_FR_006,DISCURSO_048
graduados,orgullo,realizada,"El discurso reconoce el logro de los graduados al haber finalizado la formación básica y les ofrece felicitaciones sinceras, lo que implica una valoración positiva de su desempeño y suele generar un sentimiento de orgullo en quienes han alcanzado esa meta.",DISCURSO_048_FR_009,DISCURSO_048
graduados,felicidad,realizada,"La expresión de felicitaciones sinceras y el hecho de haber completado la formación básica son eventos positivos que, según la lógica del discurso, provocan una sensación de felicidad en los graduados al recibir reconocimiento y celebración por su logro.",DISCURSO_048_FR_009,DISCURSO_048
todos los argentinos de bien,orgullo,potencial,"El discurso indica que lograrán que todos los argentinos de bien estemos orgullosos de ustedes, lo que implica que la emoción de orgullo será experimentada por ellos en el futuro.",DISCURSO_048_FR_017,DISCURSO_048
todos los argentinos,miseria,Realizada,"La frase indica que la casta política les impuso una realidad miserable a todos los argentinos, lo que implica que experimentan esa miseria.",DISCURSO_048_FR_019,DISCURSO_048
la sociedad,afecto,realizada,"La frase indica que la sociedad mantiene un afecto persistente por las fuerzas armadas, lo que constituye una emoción de afecto real.",DISCURSO_048_FR_022,DISCURSO_048
Gobierno,optimismo,realizada,"La frase indica que el Gobierno está comenzando a escribir una nueva página, lo que sugiere una actitud optimista hacia el futuro.",DISCURSO_048_FR_023,DISCURSO_048
Gobierno,alivio,realizada,"Al dar vuelta la ""triste página"" del pasado, el Gobierno experimenta alivio al dejar atrás la tristeza.",DISCURSO_048_FR_023,DISCURSO_048
Fuerzas Armadas,orgullo,realizada,"El discurso menciona que las fuerzas tienen el respeto y reconocimiento que merecen, lo que genera orgullo en las Fuerzas Armadas.",DISCURSO_048_FR_023,DISCURSO_048
Sociedad,esperanza,realizada,El hecho de que el Gobierno esté dando vuelta la página triste y escribiendo una nueva genera esperanza en la sociedad.,DISCURSO_048_FR_023,DISCURSO_048
egresados,orgullo,potencial,"El discurso menciona que la nueva camada de egresados será testigo de algo inédito, lo que implica un sentimiento de orgullo potencial.",DISCURSO_048_FR_025,DISCURSO_048
camaradas de mayor experiencia y rango,orgullo,potencial,"El discurso indica que incluso los camaradas de mayor experiencia y rango serán testigos de algo inédito, lo que sugiere orgullo potencial.",DISCURSO_048_FR_025,DISCURSO_048
camaradas de armas,motivación,potencial,El discurso indica que la memoria debe motivar a los camaradas de armas a dar lo mejor en su servicio.,DISCURSO_048_FR_029,DISCURSO_048
nuevos oficiales,motivación,potencial,El discurso indica que la memoria debe motivar a los nuevos oficiales a dar lo mejor en su servicio.,DISCURSO_048_FR_029,DISCURSO_048
nuevos oficiales,seguridad,Realizada,"El presidente afirma que los nuevos oficiales pueden contar con la nación, lo que implica que se sienten seguros al contar con el respaldo del Estado.",DISCURSO_048_FR_031,DISCURSO_048
hombres y mujeres de nuestras fuerzas armadas,orgullo,potencial,"El enunciado expresa la esperanza de que los graduados hagan sentir orgullosos a los hombres y mujeres de nuestras fuerzas armadas, lo que indica una emoción de orgullo potencial para ese grupo.",DISCURSO_048_FR_034,DISCURSO_048
graduados,felicidad,potencial,"La frase expresa el deseo de que tengan una feliz navidad, indicando una emoción de felicidad potencial para los graduados.",DISCURSO_048_FR_036,DISCURSO_048
familias de los oficiales,felicidad,potencial,"La frase expresa el deseo de que tengan una feliz navidad, indicando una emoción de felicidad potencial para las familias de los oficiales.",DISCURSO_048_FR_036,DISCURSO_048
la patria,orgullo,realizada,"El exclamación ""¡viva la patria!"" expresa un sentimiento positivo y celebratorio hacia la nación, indicando orgullo.",DISCURSO_048_FR_038,DISCURSO_048
