experienciador,tipo_emocion,modo_existencia,justificacion,recorte_id,codigo
Partido político de Javier Milei y su base electoral,orgullo,potencial,"El saludo inclusivo y la presencia del presidente pueden generar un sentimiento de orgullo entre los partidarios, aunque la frase no expresa directamente dicha emoción.",DISCURSO_048_FR_001,DISCURSO_048
Público general argentino,bienvenida,potencial,El saludo 'buenas tardes a todos' es una expresión de bienvenida que puede provocar una sensación de acogida en la audiencia general.,DISCURSO_048_FR_001,DISCURSO_048
Oposición política (la casta política),indiferencia,potencial,"El saludo neutro no contiene contenido emotivo que motive a la oposición, por lo que la emoción más probable es una indiferencia o neutralidad ante el gesto.",DISCURSO_048_FR_001,DISCURSO_048
prodestinatario,indignación,potencial,"El discurso condena un secuestro ilegal, lo que genera indignación en el partido y su base.",DISCURSO_048_FR_002,DISCURSO_048
prodestinatario,solidaridad,potencial,"El discurso menciona un secuestro ilegal de un individuo, lo que puede generar solidaridad con la víctima.",DISCURSO_048_FR_002,DISCURSO_048
paradestinatario,indignación,potencial,"El discurso condena un secuestro ilegal, lo que genera indignación en el público general.",DISCURSO_048_FR_002,DISCURSO_048
paradestinatario,preocupación,potencial,"El discurso menciona un secuestro ilegal en Venezuela, lo que puede generar preocupación por la seguridad de ciudadanos argentinos en el extranjero.",DISCURSO_048_FR_002,DISCURSO_048
contradestinatario,indignación,potencial,"El discurso condena un secuestro ilegal, lo que genera indignación en la oposición.",DISCURSO_048_FR_002,DISCURSO_048
contradestinatario,defensa,potencial,"El discurso condena un secuestro ilegal, lo que puede generar una respuesta defensiva por parte de la oposición.",DISCURSO_048_FR_002,DISCURSO_048
prodestinatario,indignación,potencial,"El discurso condena a Maduro como ""dictador criminal"" y acusa a sus fuerzas de seguridad de detener a una persona por un delito tan leve, lo que puede generar indignación en los partidarios de Milei.",DISCURSO_048_FR_003,DISCURSO_048
prodestinatario,ira,potencial,La acusación de criminalidad y la crítica a la represión de Maduro pueden provocar ira en el público que comparte los valores del presidente.,DISCURSO_048_FR_003,DISCURSO_048
prodestinatario,orgullo,potencial,"El discurso posiciona a Milei como defensor de la libertad frente a un régimen opresivo, lo que puede generar orgullo en su base.",DISCURSO_048_FR_003,DISCURSO_048
paradestinatario,indignación,potencial,El público general argentino puede sentir indignación ante la denuncia de una represión injusta por parte de Maduro.,DISCURSO_048_FR_003,DISCURSO_048
paradestinatario,ira,potencial,La crítica a la fuerza de seguridad de Maduro puede provocar ira en la audiencia neutra.,DISCURSO_048_FR_003,DISCURSO_048
paradestinatario,empatía,potencial,La mención de un delito tan leve como visitar a la pareja y el hijo puede generar empatía por la víctima.,DISCURSO_048_FR_003,DISCURSO_048
contradestinatario,indignación,potencial,"La oposición política puede percibir la condena a Maduro como parte de una estrategia polarizadora, generando indignación.",DISCURSO_048_FR_003,DISCURSO_048
contradestinatario,frustración,potencial,El discurso puede provocar frustración en la oposición al sentir que se les acusa indirectamente de apoyar a un régimen opresivo.,DISCURSO_048_FR_003,DISCURSO_048
Partido político de Javier Milei y su base electoral (prodestinatario),indignación,potencial,"El discurso condena el secuestro de Nahuel Gallo y exige su liberación inmediata, lo que genera una reacción de indignación ante la injusticia percibida.",DISCURSO_048_FR_004,DISCURSO_048
Partido político de Javier Milei y su base electoral (prodestinatario),determinación,potencial,"La frase ""exigimos"" y ""agotaremos todas las vías diplomáticas"" indica una voluntad firme y resoluta de actuar, reflejando determinación.",DISCURSO_048_FR_004,DISCURSO_048
