foria,foria_justificacion,recorte_id,experienciador,tipo_emocion,dominancia,dominancia_justificacion,intensidad,intensidad_justificacion,fuente,tipo_fuente,fuente_justificacion
Disfórico,"La indignación expresada por el presidente Milei al referirse al ""secuestro ilegal"" de Nahuel Gallo refleja una reacción de malestar y desaprobación ante una acción ilícita, lo cual corresponde a una tonalidad afectiva negativa típica de las emociones disfóricas.",DISCURSO_048_FR_002,Presidente Javier Milei,indignación,Cognoscitiva,"El enunciador evalúa la acción como ilegal e injusta, expresando juicio y sentimiento de indignación sin indicios de manifestaciones corporales.",Alta,"El enunciador menciona explícitamente el ""secuestro ilegal"" de Nahuel Gallo y lo presenta como una acción ilícita que merece una reacción de indignación. La referencia a este hecho antes de iniciar el discurso indica una fuerte condena y una respuesta emocional intensa, típica de la indignación en un contexto político y de injusticia. Por lo tanto, la intensidad de la emoción se infiere como alta.",secuestro ilegal de Nahuel Gallo en Venezuela,situacion,"El expresidente Javier Milei muestra indignación al referirse al secuestro ilegal de Nahuel Gallo, un evento externo que constituye la causa directa de su emoción."
Disfórico,"El sentimiento de desprecio y desdén expresado en la frase ""dictador criminal"" y la crítica a la detención por un delito trivial indica una emoción negativa y de malestar, lo que corresponde al carácter disfórico según la ontología y las heurísticas proporcionadas.",DISCURSO_048_FR_003,Presidente Javier Milei,contempto,Cognoscitiva,"El sentimiento de desprecio se manifiesta principalmente a través de juicios evaluativos: se califica a Maduro como ""dictador criminal"" y se minimiza la gravedad de la detención, lo que indica una valoración cognitiva de superioridad y desdén, sin indicios de manifestaciones corporales o sensaciones físicas.",Alta,"El discurso emplea calificativos fuertes como ""dictador criminal"" y presenta la detención como un acto de gravedad exagerada por un delito trivial, lo que indica un desprecio intenso y una expresión de desprecio clara hacia Maduro y su régimen.",dictador criminal Nicolás Maduro,actor,"El sentimiento de desprecio se origina en la referencia negativa a Nicolás Maduro como ""dictador criminal"" y la trivialidad del delito que lo llevó a ser detenido, lo que provoca una actitud de desprecio hacia él y su régimen."
Disfórico,"El discurso expresa indignación hacia la detención injusta y la condena de Maduro como dictador criminal, lo que indica una emoción negativa y de malestar.",DISCURSO_048_FR_003,Presidente Javier Milei,indignación,Cognoscitiva,"El discurso presenta juicios y evaluaciones morales (denominación de Maduro como ""dictador criminal"" y la crítica a la injusticia de la detención), sin manifestaciones físicas o sensaciones corporales explícitas, lo que indica una dominancia cognoscitiva de la emoción de indignación.",Alta,"El enunciador utiliza un lenguaje fuerte y condenatorio al referirse a Nicolás Maduro como ""dictador criminal"" y al describir la detención como una injusticia por un delito trivial. La combinación de calificativos negativos y la crítica directa indican una expresión intensa de indignación.",detención de la pareja y el hijo por las fuerzas de seguridad a cargo de Nicolás Maduro,situacion,"La indignación del presidente Milei se desencadena por el evento concreto de la detención, considerado injusto y trivial, que constituye una situación que provoca la emoción."
Afórico,"La emoción de determinación se caracteriza por una firme voluntad de lograr un objetivo sin expresar explícitamente alegría ni malestar. En el discurso, la frase indica una intención resoluta y decidida, pero no transmite una tonalidad afectiva positiva (eufórica) ni negativa (disfórica). Por lo tanto, se clasifica como afórica, es decir, neutra en cuanto a polaridad emocional.",DISCURSO_048_FR_004,Presidente Javier Milei,determinación,Cognoscitiva,"La expresión ""agotaremos todas las vías diplomáticas"" refleja un juicio deliberado, una evaluación estratégica y la intención firme de actuar, sin manifestaciones físicas explícitas. Por lo tanto, la dominancia de la emoción de determinación se ubica en el dominio cognoscitivo.",Alta,"El discurso emplea verbos fuertes como ""exigimos"" y ""agotaremos"", además de la expresión ""inmediata"" y la referencia a ""todas las vías diplomáticas"", lo que indica una intención firme y urgente, caracterizando una alta intensidad de determinación.",la detención de la persona,situacion,"La determinación del presidente surge como respuesta directa a la situación de detención de la persona, lo que motiva la exigencia de su liberación inmediata y el uso de vías diplomáticas."
Eufórico,"La expresión de esperanza y la expectativa de un resultado positivo (liberación sana y salvo) indican un tono positivo y optimista, característico de la emoción eufórica.",DISCURSO_048_FR_004,Presidente Javier Milei,esperanza,Cognoscitiva,"La esperanza se manifiesta en la evaluación positiva y la expectativa de éxito, evidenciada por la determinación de exigir la liberación y la planificación de vías diplomáticas, sin indicios de manifestaciones corporales.",Alta,"El discurso muestra una demanda urgente y la determinación de usar todas las vías diplomáticas, lo que indica una esperanza fuerte y activa de que el proceso sea exitoso y el individuo sea recuperado sin daños.",vías diplomáticas para devolverlo sano y salvo a la argentina,situacion,"La esperanza surge de la expectativa de que las vías diplomáticas llevarán a la liberación y retorno seguro del individuo, constituyendo una situación externa que genera la emoción."
disforico,"La emoción de indignación se caracteriza por un tono negativo de malestar y descontento frente a una acción percibida como injusta o violatoria. En el discurso se emplean verbos y expresiones como ""exigimos"" y la denuncia de un secuestro, lo que refuerza la carga negativa y de protesta, alineándose con la categoría disfórica.",DISCURSO_048_FR_004,Presidente Javier Milei,indignación,cognoscitiva,"El discurso expresa indignación a través de juicios morales y evaluaciones (""exigimos"", ""inmediata"", ""agotar todas las vías diplomáticas""), sin manifestaciones físicas explícitas, lo que indica una dominancia cognoscitiva.",Alta,"El uso de ""exigimos"" y la declaración de ""agotar todas las vías diplomáticas"" indican una demanda firme y urgente, típica de una indignación con alta intensidad. Además, el contexto de denunciar un secuestro y la urgencia de la liberación refuerzan la fuerza emocional del discurso.",secuestro,situacion,"La indignación surge al denunciar el secuestro, un evento que implica la violación de derechos y la acción del régimen."
Eufórico,"El verbo 'quiero' indica un deseo de saludar, que se interpreta como una expresión de entusiasmo y cordialidad. El contexto de un discurso de bienvenida y reconocimiento a los militares y a los nuevos egresados sugiere un tono positivo y alegre, característico de la euforía.",DISCURSO_048_FR_005,Presidente Javier Milei,deseo,Cognoscitiva,"El deseo se manifiesta a través del verbo ""quiero"", una expresión verbal que indica una intención o deseo de saludar. No hay indicios de manifestaciones físicas o sensaciones corporales, por lo que la emoción se basa principalmente en un juicio o intención, lo que indica dominancia cognoscitiva.",Baja,"El deseo de saludar se expresa con el verbo ""quiero"" sin intensificadores ni adverbios que aumenten su fuerza. El contexto es una formalidad de discurso, donde la expresión de deseo es habitual y no implica una emoción intensa. Por lo tanto, la intensidad se considera baja.","la situación de estar en el evento con el ministro de defensa, los jefes del estado mayor, el poder ejecutivo y los nuevos egresados de las fuerzas armadas",situacion,"El deseo de saludar surge del contexto de la reunión formal donde están presentes el ministro de defensa, los jefes del estado mayor, el poder ejecutivo y los nuevos egresados, lo que constituye la situación que desencadena la emoción."
euforico,"El discurso expresa gratitud y reconocimiento hacia los acompañantes, lo que indica una emoción positiva y de satisfacción. La apreciación se manifiesta como alegría y entusiasmo por su presencia, lo que corresponde al carácter eufórico según la ontología.",DISCURSO_048_FR_006,Presidente Javier Milei,aprecio,cognoscitiva,"El discurso expresa reconocimiento y gratitud hacia los acompañantes, lo que implica juicios y evaluaciones de su apoyo. No se mencionan manifestaciones físicas ni sensaciones corporales, por lo que la dominancia se identifica como cognoscitiva.",Alta,"El discurso expresa un agradecimiento explícito y enfático, resaltado por la frase ""inolvidable jornada"", lo que indica una apreciación fuerte y claramente expresada.",los asistentes que han venido a acompañarlos,actor,El reconocimiento de la presencia y apoyo de los asistentes genera una sensación de aprecio en el presidente.
euforico,"La expresión de gratitud indica un tono positivo de satisfacción y aprecio, lo que la clasifica como una emoción eufórica según la ontología y las heurísticas de tonalidad afectiva.",DISCURSO_048_FR_006,Presidente Javier Milei,gratitud,Cognoscitiva,"El enunciado expresa un reconocimiento y valoración de la presencia de los acompañantes, lo que implica un juicio de agradecimiento y aprecio. No se menciona ninguna manifestación física específica (gestos, expresiones faciales, sensaciones corporales), por lo que la emoción se manifiesta principalmente a nivel cognitivo.",Baja,"El enunciado expresa gratitud de manera sencilla y sin énfasis emocional fuerte; la frase es una simple expresión de agradecimiento sin adverbios intensificadores ni tono exaltado, lo que indica una intensidad baja.",todos aquellos que han venido a acompañarlos,actor,"El agradecimiento del presidente se dirige a las personas que asistieron y acompañaron la jornada, por lo que la fuente de la emoción es el grupo de asistentes, clasificado como actor según la ontología."
euforico,"El discurso describe la jornada como ""inolvidable"" y expresa orgullo por los participantes, lo que indica una valoración positiva y de satisfacción. La emoción de orgullo se alinea con la tonalidad eufórica, caracterizada por alegría, entusiasmo y satisfacción, sin indicios de malestar o neutralidad. Por lo tanto, el carácter fórico de la emoción identificada es eufórico.",DISCURSO_048_FR_006,Presidente Javier Milei,orgullo,cognoscitiva,"El enunciador evalúa la jornada como inolvidable y expresa orgullo por los participantes, lo que indica una valoración cognitiva sin indicios de manifestaciones corporales.",Alta,"El enunciador utiliza el adjetivo ""inolvidable"" para describir la jornada, lo que indica una valoración muy positiva y fuerte. Además, al dirigirse a los asistentes con orgullo, se expresa una emoción intensa y celebratoria. En conjunto, la presencia de un calificativo fuerte y la expresión de orgullo sugieren una intensidad alta.",la jornada,situacion,"El orgullo se origina en la valoración positiva de la jornada como inolvidable y en la presencia de los asistentes, lo que constituye una situación que provoca la emoción."
