codigo,recorte_id,experienciador,tipo_experienciador,tipo_emocion,tipo_emocion_justificacion,fuente,tipo_fuente,fuente_justificacion,foria,foria_justificacion,dominancia,dominancia_justificacion,intensidad,intensidad_justificacion
DISCURSO_048,DISCURSO_048_FR_001,Oposición política (la casta política),contradestinatario,indiferencia,"El saludo neutro no contiene contenido emotivo que motive a la oposición, por lo que la emoción más probable es una indiferencia o neutralidad ante el gesto.",saludo neutro del presidente de la nación,situacion,"El saludo neutro del presidente, sin contenido emotivo, constituye una situación que no provoca entusiasmo ni rechazo, generando indiferencia en la oposición.",aforico,"La emoción identificada es indiferencia, la cual carece de tono positivo o negativo evidente. Según las reglas heurísticas, las emociones neutras sin polaridad clara se clasifican como afórico. Por lo tanto, la FORIA correspondiente es afórico.",Cognoscitiva,El saludo neutro del presidente no presenta manifestaciones físicas ni gestos que indiquen una respuesta corporal; la emoción de indiferencia se basa en la evaluación cognitiva de la falta de contenido emotivo y la neutralidad del gesto.,Baja,"El saludo neutro del presidente no contiene expresiones emotivas ni adverbios que intensifiquen la indiferencia; por lo tanto, la emoción se percibe como leve y sin fuerza destacada."
DISCURSO_048,DISCURSO_048_FR_001,Partido político de Javier Milei y su base electoral,prodestinatario,orgullo,"El saludo inclusivo y la presencia del presidente pueden generar un sentimiento de orgullo entre los partidarios, aunque la frase no expresa directamente dicha emoción.",presidente de la nación Javier Milei,actor,"La presencia y discurso del presidente en la ceremonia de egreso de oficiales genera orgullo entre los partidarios, ya que el presidente es una figura central y simbólica del partido.",Eufórico,"El orgullo es una emoción positiva que refleja satisfacción y orgullo, por lo que se clasifica como eufórico.",cognoscitiva,"La emoción de orgullo se manifiesta principalmente a través de juicios y evaluaciones sobre la identidad y el logro del grupo. En el contexto del discurso, el saludo inclusivo y la presencia del presidente generan un sentimiento de orgullo basado en la valoración positiva de la comunidad partidaria, sin indicios de manifestaciones físicas o sensaciones corporales explícitas. Por lo tanto, la dominancia se clasifica como cognoscitiva.",Baja,"El saludo ""buenas tardes a todos"" es una expresión neutra y formal sin adjetivos, adverbios ni énfasis que intensifiquen la emoción de orgullo. La presencia del presidente y el tono inclusivo pueden generar un sentimiento de orgullo leve entre los partidarios, pero la frase en sí no muestra una expresión fuerte o apasionada de dicha emoción, lo que sugiere una intensidad baja."
DISCURSO_048,DISCURSO_048_FR_001,Público general argentino,paradestinatario,bienvenida,El saludo 'buenas tardes a todos' es una expresión de bienvenida que puede provocar una sensación de acogida en la audiencia general.,presidente de la nación,actor,"El saludo ""buenas tardes a todos"" es pronunciado por el presidente de la nación, quien actúa como fuente de la emoción de bienvenida en la audiencia.",euforico,"El saludo ""buenas tardes a todos"" es una expresión de bienvenida que transmite cordialidad, apertura y un tono positivo hacia la audiencia. No contiene elementos de malestar ni neutralidad, sino que refleja entusiasmo y satisfacción al recibir a los presentes, lo que lo clasifica como una emoción eufórica según la ontología y las heurísticas proporcionadas.",Cognoscitiva,"El saludo ""buenas tardes a todos"" es una expresión verbal que implica un juicio social de bienvenida y acogida. No se menciona ninguna manifestación física, gesto o sensación corporal asociada; la emoción se basa principalmente en la evaluación cognitiva de la situación y la intención de incluir a la audiencia. Por lo tanto, la dominancia se clasifica como cognoscitiva.",Baja,"El saludo ""buenas tardes a todos"" es una expresión de bienvenida sencilla y directa, sin énfasis, exclamaciones ni adjetivos que intensifiquen la emoción. En el contexto del discurso, se presenta de manera formal y cortés, lo que sugiere una intensidad leve o sutil de la emoción de bienvenida."
DISCURSO_048,DISCURSO_048_FR_002,Presidente Javier Milei,enunciador,indignación,"El enunciador menciona el ""secuestro ilegal"" de Nahuel Gallo, calificándolo como una acción ilícita y, al decidir referirse a él antes de iniciar su discurso, expresa una reacción de indignación ante la injusticia señalada.",secuestro ilegal de Nahuel Gallo en Venezuela,situacion,"El expresidente Javier Milei muestra indignación al referirse al secuestro ilegal de Nahuel Gallo, un evento externo que constituye la causa directa de su emoción.",Disfórico,"La indignación expresada por el presidente Milei al referirse al ""secuestro ilegal"" de Nahuel Gallo refleja una reacción de malestar y desaprobación ante una acción ilícita, lo cual corresponde a una tonalidad afectiva negativa típica de las emociones disfóricas.",Cognoscitiva,"El enunciador evalúa la acción como ilegal e injusta, expresando juicio y sentimiento de indignación sin indicios de manifestaciones corporales.",Alta,"El enunciador menciona explícitamente el ""secuestro ilegal"" de Nahuel Gallo y lo presenta como una acción ilícita que merece una reacción de indignación. La referencia a este hecho antes de iniciar el discurso indica una fuerte condena y una respuesta emocional intensa, típica de la indignación en un contexto político y de injusticia. Por lo tanto, la intensidad de la emoción se infiere como alta."
DISCURSO_048,DISCURSO_048_FR_002,Oposición política (la casta política),contradestinatario,defensa,"El discurso condena un secuestro ilegal, lo que puede generar una respuesta defensiva por parte de la oposición.",secuestro ilegal de Nahuel Gallo en Venezuela,situacion,"La referencia al secuestro ilegal de Nahuel Gallo en Venezuela constituye una situación negativa que puede provocar una respuesta defensiva por parte del contradestinatario, ya que se percibe como una acusación o crítica que amenaza su posición.",Disfórico,"El discurso condena un secuestro ilegal, lo que genera una respuesta defensiva negativa; la emoción identificada (defensa) se caracteriza por un tono de malestar y oposición, por lo que su foria es disfórica.",Cognoscitiva,"El discurso se centra en la condena del secuestro ilegal y la anticipación de una respuesta defensiva por parte de la oposición, lo que implica juicios, evaluaciones y pensamientos críticos. No se mencionan manifestaciones físicas ni sensaciones corporales, por lo que la dominancia de la emoción de defensa se basa principalmente en el aspecto cognitivo.",Baja,"El discurso presenta una condena formal del secuestro ilegal sin el uso de adjetivos o verbos intensamente emocionales. La expresión es directa y objetiva, lo que sugiere una emoción de defensa de baja intensidad."
DISCURSO_048,DISCURSO_048_FR_002,Oposición política (la casta política),contradestinatario,indignación,"El discurso condena un secuestro ilegal, lo que genera indignación en la oposición.",secuestro ilegal de Nahuel Gallo en Venezuela,situacion,"El secuestro ilegal constituye un acto ilícito y violento que provoca indignación en la oposición, siendo la situación concreta que desencadena la emoción.",Disfórico,"La indignación es una emoción negativa que expresa malestar y descontento ante una injusticia, por lo que se clasifica como disfórica.",Cognoscitiva,"El discurso expresa una evaluación crítica y condenatoria del secuestro ilegal, lo que indica una predominancia de juicios y evaluaciones mentales típicos de la indignación. No se observan indicios de manifestaciones corporales explícitas en el contexto proporcionado.",Alta,"El discurso expresa indignación al condenar un secuestro ilegal, lo que implica una emoción fuertemente expresada y de alta intensidad."
DISCURSO_048,DISCURSO_048_FR_002,Público general argentino,paradestinatario,indignación,"El discurso condena un secuestro ilegal, lo que genera indignación en el público general.",secuestro ilegal de Nahuel Gallo en Venezuela,situacion,El hecho de que Nahuel Gallo haya sido secuestrado ilegalmente en Venezuela constituye un evento externo que provoca indignación en el público.,Disfórico,"La indignación es una emoción negativa que expresa malestar y descontento ante una injusticia, por lo que su carácter fórico se clasifica como disfórico.",Cognoscitiva,"El discurso expresa indignación al condenar un secuestro ilegal, lo que implica un juicio moral y una evaluación de la injusticia, predominando así la dimensión cognitiva de la emoción.",Alta,"El discurso expresa indignación ante un secuestro ilegal, una situación grave que provoca una reacción emocional fuerte. La condena explícita y el contexto de un delito violento indican una intensidad alta de indignación."
DISCURSO_048,DISCURSO_048_FR_002,Público general argentino,paradestinatario,preocupación,"El discurso menciona un secuestro ilegal en Venezuela, lo que puede generar preocupación por la seguridad de ciudadanos argentinos en el extranjero.",secuestro ilegal de Nahuel Gallo en Venezuela,situacion,La mención del secuestro ilegal de Nahuel Gallo en Venezuela genera preocupación por la seguridad de ciudadanos argentinos en el extranjero.,Disfórico,"La emoción identificada es preocupación, la cual expresa un tono negativo de malestar o inquietud respecto a la seguridad de ciudadanos argentinos en el extranjero. Según la ontología y las heurísticas, las emociones de tipo preocupación se clasifican como disfórico.",Cognoscitiva,"El discurso se centra en la evaluación de un riesgo potencial (el secuestro ilegal de Nahuel Gallo en Venezuela) y la preocupación por la seguridad de ciudadanos argentinos en el extranjero. No se mencionan manifestaciones físicas ni gestos, sino que la emoción se expresa a través de juicios y evaluaciones sobre la situación, lo que indica una dominancia cognoscitiva.",Baja,"El discurso menciona el secuestro ilegal de Nahuel Gallo en Venezuela, lo que puede generar preocupación por la seguridad de ciudadanos argentinos en el extranjero. Sin embargo, la expresión no utiliza adjetivos intensos, verbos fuertes ni un tono alarmante; simplemente se presenta como un hecho relevante. Según la heurística de que la preocupación suele manifestarse con una intensidad baja cuando no se acompaña de un lenguaje alarmante, se infiere una intensidad baja."
DISCURSO_048,DISCURSO_048_FR_002,Partido político de Javier Milei y su base electoral,prodestinatario,indignación,"El discurso condena un secuestro ilegal, lo que genera indignación en el partido y su base.",secuestro ilegal de Nahuel Gallo en Venezuela,situacion,El secuestro ilegal de Nahuel Gallo en Venezuela es un evento externo que provoca indignación en el partido y su base.,disforico,"La emoción identificada es indignación, la cual se caracteriza por un tono negativo y de malestar ante una injusticia, por lo que corresponde al foria disfórico según la ontología y las heurísticas proporcionadas.",Cognoscitiva,"La indignación expresada se centra en la evaluación moral y el juicio de injusticia ante el secuestro ilegal, manifestándose principalmente a través de pensamientos y evaluaciones críticas del acto, lo que indica una dominancia cognoscitiva.",Alta,"El discurso expresa una condena directa y explícita al secuestro ilegal de Nahuel Gallo, lo que genera una reacción de indignación fuerte y clara. La referencia a un acto ilícito y la intención de denunciarlo indican una emoción intensamente expresada, típica de la indignación en contextos de injusticia."
DISCURSO_048,DISCURSO_048_FR_002,Partido político de Javier Milei y su base electoral,prodestinatario,solidaridad,"El discurso menciona un secuestro ilegal de un individuo, lo que puede generar solidaridad con la víctima.",secuestro ilegal de Nahuel Gallo en Venezuela,situacion,La referencia al secuestro ilegal de Nahuel Gallo genera solidaridad al describir un evento trágico que afecta a una persona específica.,Ambifórico,"El discurso expresa solidaridad (emoción positiva) con la víctima de un secuestro ilegal (evento negativo), resultando en una mezcla de tonalidades positivas y negativas.",Cognoscitiva,"El discurso menciona el secuestro ilegal de Nahuel Gallo y expresa solidaridad con la víctima, lo que implica una evaluación cognitiva de la injusticia y la empatía hacia la víctima. No se describen manifestaciones físicas, gestos ni sensaciones corporales asociadas a la emoción, por lo que la dominancia se infiere como cognoscitiva.",Baja,"El discurso menciona el secuestro ilegal de Nahuel Gallo, lo que genera una respuesta de solidaridad, pero la frase en sí es una simple referencia sin adjetivos, verbos intensos ni expresiones emocionales fuertes. Por lo tanto, la intensidad de la emoción identificada se considera baja."
