fuente,tipo_fuente,justificacion,recorte_id,experienciador,tipo_emocion
secuestro ilegal de Nahuel Gallo en Venezuela,situacion,"El expresidente Javier Milei muestra indignación al referirse al secuestro ilegal de Nahuel Gallo, un evento externo que constituye la causa directa de su emoción.",DISCURSO_048_FR_002,Presidente Javier Milei,indignación
detención de la pareja y el hijo por las fuerzas de seguridad a cargo de Nicolás Maduro,situacion,"La indignación del presidente Milei se desencadena por el evento concreto de la detención, considerado injusto y trivial, que constituye una situación que provoca la emoción.",DISCURSO_048_FR_003,Presidente Javier Milei,indignación
dictador criminal Nicolás Maduro,actor,"El sentimiento de desprecio se origina en la referencia negativa a Nicolás Maduro como ""dictador criminal"" y la trivialidad del delito que lo llevó a ser detenido, lo que provoca una actitud de desprecio hacia él y su régimen.",DISCURSO_048_FR_003,Presidente Javier Milei,contempto
secuestro,situacion,"La indignación surge al denunciar el secuestro, un evento que implica la violación de derechos y la acción del régimen.",DISCURSO_048_FR_004,Presidente Javier Milei,indignación
la detención de la persona,situacion,"La determinación del presidente surge como respuesta directa a la situación de detención de la persona, lo que motiva la exigencia de su liberación inmediata y el uso de vías diplomáticas.",DISCURSO_048_FR_004,Presidente Javier Milei,determinación
vías diplomáticas para devolverlo sano y salvo a la argentina,situacion,"La esperanza surge de la expectativa de que las vías diplomáticas llevarán a la liberación y retorno seguro del individuo, constituyendo una situación externa que genera la emoción.",DISCURSO_048_FR_004,Presidente Javier Milei,esperanza
"la situación de estar en el evento con el ministro de defensa, los jefes del estado mayor, el poder ejecutivo y los nuevos egresados de las fuerzas armadas",situacion,"El deseo de saludar surge del contexto de la reunión formal donde están presentes el ministro de defensa, los jefes del estado mayor, el poder ejecutivo y los nuevos egresados, lo que constituye la situación que desencadena la emoción.",DISCURSO_048_FR_005,Presidente Javier Milei,deseo
todos aquellos que han venido a acompañarlos,actor,"El agradecimiento del presidente se dirige a las personas que asistieron y acompañaron la jornada, por lo que la fuente de la emoción es el grupo de asistentes, clasificado como actor según la ontología.",DISCURSO_048_FR_006,Presidente Javier Milei,gratitud
los asistentes que han venido a acompañarlos,actor,El reconocimiento de la presencia y apoyo de los asistentes genera una sensación de aprecio en el presidente.,DISCURSO_048_FR_006,Presidente Javier Milei,aprecio
la jornada,situacion,"El orgullo se origina en la valoración positiva de la jornada como inolvidable y en la presencia de los asistentes, lo que constituye una situación que provoca la emoción.",DISCURSO_048_FR_006,Presidente Javier Milei,orgullo
