actor,tipo,modo,justificacion,frase_idx,recorte_id,codigo
audiencia presente,colectivo,inferido,"El pronombre 'todos ustedes' se refiere a la audiencia presente en el evento, un colectivo no nombrado explícitamente en la frase.",2,DISCURSO_001_FR_003,DISCURSO_001
Bettina Bulgheroni,humano_individual,explícito,Mencionada explícitamente como 'la flamante presidente bettina bulgheroni'.,3,DISCURSO_001_FR_004,DISCURSO_001
autoridades de la institución,colectivo,explícito,Mencionadas explícitamente como 'todas las autoridades de la institución'.,3,DISCURSO_001_FR_004,DISCURSO_001
presentes,colectivo,explícito,Mencionados explícitamente como 'todos los presentes'.,3,DISCURSO_001_FR_004,DISCURSO_001
grupo violento,colectivo,explícito,Mencionado explícitamente como 'un grupejo violento' que irrumpió y arrojó piedras.,4,DISCURSO_001_FR_005,DISCURSO_001
nosotros,colectivo,inferido,Pronombre 'nosotros' indica un colectivo que experimentó la situación; se infiere que incluye al hablante y a su equipo de campaña.,4,DISCURSO_001_FR_005,DISCURSO_001
la casta,colectivo,explícito,"referido explícitamente en la frase: ""la casta está enquistada en el estado""",5,DISCURSO_001_FR_006,DISCURSO_001
los poderosos,colectivo,explícito,"referido explícitamente en la frase: ""los poderosos no se iban a rendir""",5,DISCURSO_001_FR_006,DISCURSO_001
el círculo rojo,colectivo,explícito,"referido explícitamente en la frase: ""junto al círculo rojo""",5,DISCURSO_001_FR_006,DISCURSO_001
la casta,colectivo,inferido,"El verbo 'inventaron' aparece en tercera persona plural sin sujeto explícito; el contexto del discurso menciona a 'la casta' como el grupo que actúa en la política y que produce las absurdidades, por lo tanto se infiere que el sujeto es 'la casta'.",7,DISCURSO_001_FR_008,DISCURSO_001
los niños,colectivo,inferido,"En la cláusula 'permitiríamos que los niños compraran armas por internet', el sujeto de la acción es 'los niños', que se menciona explícitamente como el grupo que realizaría la acción.",7,DISCURSO_001_FR_008,DISCURSO_001
la casta política,colectivo,inferido,"El sujeto tácito 'se' en la construcción pasiva ""se cansaron"" se refiere a los que inventaron las absurdas propuestas mencionadas en el contexto previo. Dado que dichos inventores pertenecen al grupo político que Milei critica como ""la casta política"", se infiere que el sujeto es ese colectivo.",8,DISCURSO_001_FR_009,DISCURSO_001
la casta,colectivo,explícito,"referencia directa en la frase ""lista de artilugios de la casta""",9,DISCURSO_001_FR_010,DISCURSO_001
la justicia,institucional,explícito,explicit mention in the phrase 'dependerá de la justicia esclarecerlo',10,DISCURSO_001_FR_011,DISCURSO_001
los jueces,colectivo,explícito,"La frase menciona explícitamente a ""los jueces"" como sujeto de la acción.",11,DISCURSO_001_FR_012,DISCURSO_001
la casta,colectivo,explícito,La frase menciona explícitamente 'la casta' como sujeto del comportamiento.,12,DISCURSO_001_FR_013,DISCURSO_001
gobierno,institucional,explícito,"El término ""un gobierno"" aparece explícitamente en la frase y es el sujeto que realiza las acciones de generar pánico, infiltrarse, difamar y entorpecer el proceso de cambio.",13,DISCURSO_001_FR_014,DISCURSO_001
la gente,colectivo,explícito,"El sustantivo ""la gente"" aparece explícitamente en la frase objetivo.",14,DISCURSO_001_FR_015,DISCURSO_001
la casta política,colectivo,inferido,"El pronombre ""les"" se refiere a la entidad que realiza ""estas acciones cobardes""; el contexto indica que dicha entidad es la ""casta política"".",14,DISCURSO_001_FR_015,DISCURSO_001
los bonaerenses,colectivo,explícito,explicitly mentioned as the subject performing the action.,16,DISCURSO_001_FR_017,DISCURSO_001
"el régimen de mentiras, violencia, corrupción y extorsión del kirchnerismo",colectivo,explícito,explicitly mentioned as the object of the action.,16,DISCURSO_001_FR_017,DISCURSO_001
kirchnerismo,colectivo,explícito,explicitly mentioned in the phrase,17,DISCURSO_001_FR_018,DISCURSO_001
el gobierno,institucional,inferido,"El sujeto tácito 'podemos', 'hemos', 'levantamos' en primera persona plural indica que el sujeto es el gobierno o el equipo de Milei; el contexto del discurso indica que Milei habla como presidente, por lo que el sujeto implícito corresponde al gobierno.",23,DISCURSO_001_FR_024,DISCURSO_001
miembros del partido,colectivo,inferido,"Sujeto tácito / elíptico: la forma verbal 'estamos' indica un grupo de hablantes, y en el contexto del discurso se refiere a los integrantes de la organización política del orador, es decir, los miembros del partido.",24,DISCURSO_001_FR_025,DISCURSO_001
"los que vienen","colectivo","inferido","Sujeto tácito / elíptico: el verbo 'envalentonan' y 'demuestran' indica un sujeto no mencionado, que se infiere como 'los que vienen' a partir del contexto de la frase.","15","DISCURSO_001_FR_016","DISCURSO_001"
