actor,tipo,modo,justificacion,frase_idx,recorte_id,codigo
ser humano,colectivo,inferido,"inferred from context: the question ""¿por qué?"" refers to the preceding statement about the first money used by the ser humano",18,DISCURSO_001_FR_019,DISCURSO_001
nosotros,colectivo,explícito,El pronombre 'nosotros' aparece directamente en la frase y se refiere al grupo que incluye al hablante y a otros miembros del gobierno.,78,DISCURSO_001_FR_079,DISCURSO_001
nosotros,colectivo,explícito,"Pronombre explícito 'nosotros' presente en la frase objetivo, indicando un grupo de personas que actúan conjuntamente.",89,DISCURSO_001_FR_090,DISCURSO_001
yo,humano_individual,explícito,El pronombre personal 'yo' aparece explícitamente como sujeto de la oración.,111,DISCURSO_001_FR_112,DISCURSO_001
el mercado de dinero,colectivo,explícito,sujeto explícito que realiza la acción de ajustar rápido,140,DISCURSO_001_FR_141,DISCURSO_001
el mercado de bienes,colectivo,explícito,sujeto explícito que realiza la acción de ajustar lento,140,DISCURSO_001_FR_141,DISCURSO_001
el mercado de trabajo,institucional,explícito,la frase menciona directamente 'el mercado de trabajo' como sujeto que determina el salario,160,DISCURSO_001_FR_161,DISCURSO_001
mercado de dinero,colectivo,explícito,El término 'mercado de dinero' aparece en la frase y se infiere como sujeto que determina la tasa de interés.,161,DISCURSO_001_FR_162,DISCURSO_001
nadie,humano_individual,explícito,"Pronombre indefinido que funciona como sujeto de la oración, representando a cualquier persona.",196,DISCURSO_001_FR_197,DISCURSO_001
el socialismo en su versión pura,colectivo,explícito,"Es el sujeto explícito del verbo 'fue' y 'asesinó', actuando como agente de la acción.",207,DISCURSO_001_FR_208,DISCURSO_001
los orcos,colectivo,explícito,explicitamente mencionado en la frase objetivo,212,DISCURSO_001_FR_213,DISCURSO_001
lesfi,colectivo,explícito,"El sustantivo 'lesfi' aparece directamente en la frase objetivo y se refiere a un grupo de personas o entidad, por lo que se considera un actor explícito.",249,DISCURSO_001_FR_250,DISCURSO_001
nosotros,colectivo,inferido,"El verbo 'asistimos' indica un sujeto plural implícito que se refiere a 'nosotros', no nombrado explícitamente.",280,DISCURSO_002_FR_005,DISCURSO_002
negocios ilegítimos,institucional,explícito,"La frase indica que 'tienen negocios ilegítimos con el estado y las provincias', identificando a los negocios como entidades.",292,DISCURSO_002_FR_017,DISCURSO_002
las provincias,institucional,explícito,Se menciona 'las provincias' como entidad con la que los negocios tienen relaciones.,292,DISCURSO_002_FR_017,DISCURSO_002
el modelo de la casta,colectivo,inferido,"El sujeto implícito 'ellos' que gobernaron toda su vida se refiere al grupo mencionado en la frase posterior 'el modelo de la casta', que se describe como gobernando toda su vida.",301,DISCURSO_002_FR_026,DISCURSO_002
la política,colectivo,explícito,La frase contiene la expresión 'la política'.,313,DISCURSO_002_FR_038,DISCURSO_002
nosotros,colectivo,inferido,"Pronombre 'nosotros' en la frase indica el grupo del hablante, inferido del contexto del discurso del presidente Milei.",321,DISCURSO_002_FR_046,DISCURSO_002
uno,humano_individual,explícito,Pronombre 'uno' se refiere a un individuo genérico,322,DISCURSO_002_FR_047,DISCURSO_002
oficialismo,colectivo,inferido,"La expresión 'un oficialismo' y 'los oficialismos son oficialismo' hace referencia a un grupo político, por lo que se infiere el colectivo 'oficialismo'.",337,DISCURSO_002_FR_062,DISCURSO_002
las testimoniales,colectivo,explícito,Noun phrase 'las testimoniales' appears in the target phrase.,339,DISCURSO_002_FR_064,DISCURSO_002
Argentina,colectivo,inferido,"El discurso se refiere a ""un país"" y el contexto indica que se habla de Argentina; por lo tanto, se infiere que el actor es el país mencionado.",359,DISCURSO_002_FR_084,DISCURSO_002
campo argentino,colectivo,explícito,explicit mention in phrase,374,DISCURSO_002_FR_099,DISCURSO_002
