experienciador,tipo_emocion,modo_existencia,justificacion,frase_idx,recorte_id,codigo
Javier Milei,placer,Realizada,"La frase contiene la expresión 'es un placer', indicando que el enunciador experimenta placer al estar presente.",0,DISCURSO_001_FR_001,DISCURSO_001
Javier Milei,confianza,Realizada,"El enunciador afirma que todavía conserva los reflejos, lo que indica confianza en su propia capacidad de reacción.",1,DISCURSO_001_FR_002,DISCURSO_001
enunciador,placer,Realizada,"La frase declara explícitamente ""es un placer para mí"", indicando que el enunciador experimenta placer.",2,DISCURSO_001_FR_003,DISCURSO_001
enunciador,gratitud,Realizada,"La frase contiene los verbos ""quiero agradecer"" y ""extiendo mi agradecimiento"", que indican un sentimiento de gratitud expresado por el enunciador.",3,DISCURSO_001_FR_004,DISCURSO_001
Milei,indignación,Realizada,"El enunciador describe la situación como ""aberrante"" y menciona ""burdas operaciones difamadoras"", lo que indica una reacción de indignación frente a la violencia y la desinformación.",4,DISCURSO_001_FR_005,DISCURSO_001
Milei,miedo,Realizada,"Se relata que ""un grupejo violento irrumpió por la fuerza y empezó a arrojar piedras hacia nosotros"", lo que implica una amenaza directa y genera miedo en el hablante.",4,DISCURSO_001_FR_005,DISCURSO_001
Milei,frustración,Realizada,"La referencia a ""burdas operaciones difamadoras"" sugiere frustración ante la continua hostilidad y la falta de justicia.",4,DISCURSO_001_FR_005,DISCURSO_001
nosotros,miedo,Realizada,"El grupo al que se refiere el hablante (""nosotros"") también experimenta la amenaza de la violencia descrita, generando miedo colectivo.",4,DISCURSO_001_FR_005,DISCURSO_001
nosotros,ira,Realizada,"La descripción de la violencia y la difamación provoca ira en el grupo, evidenciada por la expresión de la situación como ""aberrante"".",4,DISCURSO_001_FR_005,DISCURSO_001
nosotros,ansiedad,Realizada,El hecho de que el grupo sea atacado de forma inesperada y violenta genera ansiedad en los presentes.,4,DISCURSO_001_FR_005,DISCURSO_001
Javier Milei,frustración,Realizada,sabíamos que esto iba a ser difícil,5,DISCURSO_001_FR_006,DISCURSO_001
Javier Milei,miedo,Realizada,"se dedicarán a difamarnos, calumniarnos e injuriarnos",5,DISCURSO_001_FR_006,DISCURSO_001
Javier Milei,indignación,Realizada,la casta está enquistada en el estado hace décadas y defiende sus privilegios,5,DISCURSO_001_FR_006,DISCURSO_001
La Libertad Avanza,frustración,Realizada,sabíamos que esto iba a ser difícil,5,DISCURSO_001_FR_006,DISCURSO_001
La Libertad Avanza,miedo,Realizada,"se dedicarán a difamarnos, calumniarnos e injuriarnos",5,DISCURSO_001_FR_006,DISCURSO_001
