dominancia,justificacion,recorte_id,experienciador,tipo_emocion
Cognoscitiva,"El enunciador evalúa la acción como ilegal e injusta, expresando juicio y sentimiento de indignación sin indicios de manifestaciones corporales.",DISCURSO_048_FR_002,Presidente Javier Milei,indignación
Cognoscitiva,"El discurso presenta juicios y evaluaciones morales (denominación de Maduro como ""dictador criminal"" y la crítica a la injusticia de la detención), sin manifestaciones físicas o sensaciones corporales explícitas, lo que indica una dominancia cognoscitiva de la emoción de indignación.",DISCURSO_048_FR_003,Presidente Javier Milei,indignación
Cognoscitiva,"El sentimiento de desprecio se manifiesta principalmente a través de juicios evaluativos: se califica a Maduro como ""dictador criminal"" y se minimiza la gravedad de la detención, lo que indica una valoración cognitiva de superioridad y desdén, sin indicios de manifestaciones corporales o sensaciones físicas.",DISCURSO_048_FR_003,Presidente Javier Milei,contempto
cognoscitiva,"El discurso expresa indignación a través de juicios morales y evaluaciones (""exigimos"", ""inmediata"", ""agotar todas las vías diplomáticas""), sin manifestaciones físicas explícitas, lo que indica una dominancia cognoscitiva.",DISCURSO_048_FR_004,Presidente Javier Milei,indignación
Cognoscitiva,"La expresión ""agotaremos todas las vías diplomáticas"" refleja un juicio deliberado, una evaluación estratégica y la intención firme de actuar, sin manifestaciones físicas explícitas. Por lo tanto, la dominancia de la emoción de determinación se ubica en el dominio cognoscitivo.",DISCURSO_048_FR_004,Presidente Javier Milei,determinación
Cognoscitiva,"La esperanza se manifiesta en la evaluación positiva y la expectativa de éxito, evidenciada por la determinación de exigir la liberación y la planificación de vías diplomáticas, sin indicios de manifestaciones corporales.",DISCURSO_048_FR_004,Presidente Javier Milei,esperanza
Cognoscitiva,"El deseo se manifiesta a través del verbo ""quiero"", una expresión verbal que indica una intención o deseo de saludar. No hay indicios de manifestaciones físicas o sensaciones corporales, por lo que la emoción se basa principalmente en un juicio o intención, lo que indica dominancia cognoscitiva.",DISCURSO_048_FR_005,Presidente Javier Milei,deseo
Cognoscitiva,"El enunciado expresa un reconocimiento y valoración de la presencia de los acompañantes, lo que implica un juicio de agradecimiento y aprecio. No se menciona ninguna manifestación física específica (gestos, expresiones faciales, sensaciones corporales), por lo que la emoción se manifiesta principalmente a nivel cognitivo.",DISCURSO_048_FR_006,Presidente Javier Milei,gratitud
cognoscitiva,"El discurso expresa reconocimiento y gratitud hacia los acompañantes, lo que implica juicios y evaluaciones de su apoyo. No se mencionan manifestaciones físicas ni sensaciones corporales, por lo que la dominancia se identifica como cognoscitiva.",DISCURSO_048_FR_006,Presidente Javier Milei,aprecio
cognoscitiva,"El enunciador evalúa la jornada como inolvidable y expresa orgullo por los participantes, lo que indica una valoración cognitiva sin indicios de manifestaciones corporales.",DISCURSO_048_FR_006,Presidente Javier Milei,orgullo
Cognoscitiva,"La expresión ""es un honor para mí"" indica una valoración y reconocimiento interno del evento, reflejando un juicio cognitivo sobre la importancia y dignidad de la ceremonia. No se menciona ninguna manifestación física o sensación corporal, por lo que la dominancia se ubica en el dominio cognoscitivo.",DISCURSO_048_FR_007,Presidente Javier Milei,honor
Cognoscitiva,"El discurso expresa felicidad a través de una evaluación positiva y un reconocimiento verbal (“mis más sinceras felicitaciones”), sin mencionar manifestaciones físicas explícitas. La emoción se manifiesta principalmente en juicios y pensamientos asociados al logro y la celebración, lo que indica una dominancia cognoscitiva.",DISCURSO_048_FR_009,Presidente Javier Milei,felicidad
Cognoscitiva,"El discurso expresa orgullo a través de la evaluación y reconocimiento del logro de los graduados, manifestado en la frase ""mis más sinceras felicitaciones"". No se mencionan sensaciones físicas ni gestos corporales, por lo que la emoción se presenta principalmente en el plano cognitivo.",DISCURSO_048_FR_009,Presidente Javier Milei,orgullo
Cognoscitiva,"El orgullo se expresa a través de la valoración positiva de la finalización de la etapa y la expectativa de aprendizaje futuro, sin mencionar sensaciones corporales o gestos; por lo tanto, la dominancia es cognoscitiva.",DISCURSO_048_FR_011,Presidente Javier Milei,orgullo
Cognoscitiva,"La expresión de esperanza se centra en la valoración positiva y la expectativa futura de aprendizaje continuo. No se menciona ninguna manifestación física ni gesto corporal; la emoción se manifiesta a través de juicios y evaluaciones mentales sobre el futuro de los graduados, lo que indica una dominancia cognoscitiva.",DISCURSO_048_FR_011,Presidente Javier Milei,esperanza
Cognoscitiva,"El discurso expresa orgullo a través de juicios y evaluaciones sobre los valores y la tradición de los héroes emancipadores, sin mencionar manifestaciones físicas o gestos. Por lo tanto, la dominancia de la emoción identificada es cognoscitiva.",DISCURSO_048_FR_012,Presidente Javier Milei,orgullo
Cognoscitiva,"La reverencia expresada en el discurso se fundamenta en juicios y evaluaciones sobre los héroes emancipadores y los valores que simbolizan los sables. No se describen manifestaciones físicas o sensaciones corporales, por lo que la emoción predomina en el ámbito cognitivo.",DISCURSO_048_FR_012,Presidente Javier Milei,reverencia
Cognoscitiva,"El sentimiento de respeto se manifiesta principalmente a través de juicios y evaluaciones sobre la importancia de los valores y la tradición militar, sin indicios de manifestaciones corporales o sensaciones físicas asociadas.",DISCURSO_048_FR_012,Presidente Javier Milei,respeto
Cognoscitiva,"La emoción de anticipación se manifiesta principalmente a través de juicios y evaluaciones mentales sobre el evento próximo, sin indicios de manifestaciones corporales explícitas en el discurso. El uso de ""en instantes"" señala una expectativa mental y una valoración cognitiva del momento que se avecina, lo que indica una dominancia cognoscitiva.",DISCURSO_048_FR_012,Presidente Javier Milei,anticipación
Cognoscitiva,"El orgullo se expresa a través de juicios y evaluaciones sobre la institución y los oficiales, resaltando la importancia del juramento y el compromiso con la nación; no se menciona manifestaciones físicas, por lo que la dominancia es cognoscitiva.",DISCURSO_048_FR_014,Presidente Javier Milei,orgullo
Cognoscitiva,"La expresión se centra en la valoración positiva y la expectativa de un futuro mejor, sin indicios de manifestaciones físicas, lo que indica una dominancia cognoscitiva.",DISCURSO_048_FR_014,Presidente Javier Milei,esperanza
Cognoscitiva,"La determinación se manifiesta principalmente a través de juicios y evaluaciones: el presidente enfatiza la fidelidad a la constitución y el compromiso de los oficiales con una vida de servicio a la nación. No se citan manifestaciones físicas ni gestos, por lo que la emoción predomina en el dominio cognoscitivo.",DISCURSO_048_FR_014,Presidente Javier Milei,determinación
Cognoscitiva,"La emoción de solemnidad se manifiesta principalmente a través de juicios y evaluaciones conscientes del presidente al presenciar la ceremonia de entrega de sables y juramentos. El discurso enfatiza el significado simbólico del juramento y el compromiso de servicio a la nación, lo que indica una valoración cognitiva de la importancia del acto más que una manifestación física evidente. Por lo tanto, la dominancia se clasifica como cognoscitiva.",DISCURSO_048_FR_014,Presidente Javier Milei,solemnidad
Cognoscitiva,"El discurso enfatiza el compromiso moral y la lealtad a la constitución, expresando juicios y evaluaciones de respeto y deber. No se describen manifestaciones físicas o sensaciones corporales, por lo que la dominancia se identifica como cognoscitiva.",DISCURSO_048_FR_014,Presidente Javier Milei,reverencia
Cognoscitiva,"El discurso enfatiza juicios y evaluaciones sobre los valores de orden, valor y gloria, resaltando la importancia del día y la tradición militar. No se mencionan manifestaciones físicas o sensaciones corporales, por lo que la emoción de orgullo se manifiesta principalmente en el ámbito cognitivo.",DISCURSO_048_FR_015,Presidente Javier Milei,orgullo
Cognoscitiva,"La emoción de esperanza se manifiesta principalmente a través de la instrucción cognitiva de recordar y grabar en la memoria los preceptos, lo que implica juicios, evaluaciones y pensamientos internos más que manifestaciones físicas.",DISCURSO_048_FR_015,Presidente Javier Milei,esperanza
Cognoscitiva,"La emoción de determinación se manifiesta principalmente a través de juicios, evaluaciones y la intención de que los oficiales mantengan los principios de orden, valor y gloria. En el discurso no se observan indicios de manifestaciones corporales (gestos, sensaciones físicas) que sugieran una predominancia corporal; la referencia se centra en la voluntad y el mandato mental de recordar y grabar, lo que indica una dominancia cognoscitiva.",DISCURSO_048_FR_015,Presidente Javier Milei,determinación
Cognoscitiva,"El discurso enfatiza la importancia histórica y la necesidad de recordar el día, lo que implica juicios y evaluaciones mentales sobre su significado. No se mencionan manifestaciones físicas o sensaciones corporales, por lo que la emoción de reverencia se manifiesta principalmente en el dominio cognitivo.",DISCURSO_048_FR_015,Presidente Javier Milei,reverencia
Cognoscitiva,"El orgullo expresado por el presidente se fundamenta en una valoración positiva y una apreciación intelectual de las fuerzas armadas como guía norte para una vida de servicio a la patria. No se observan indicios de manifestaciones físicas o sensaciones corporales, por lo que la dominancia se ubica en el ámbito cognoscitivo.",DISCURSO_048_FR_016,Presidente Javier Milei,orgullo
Cognoscitiva,"El discurso expresa una valoración y juicio sobre la dirección y el propósito de la vida en servicio a la patria, sin mencionar manifestaciones físicas o sensaciones corporales. Por lo tanto, la emoción de patriotismo se manifiesta principalmente en el ámbito cognitivo.",DISCURSO_048_FR_016,Presidente Javier Milei,patriotismo
Cognoscitiva,"La expresión ""son el norte para una vida al servicio de la patria"" refleja una decisión firme y un compromiso mental de seguir esa dirección, caracterizando la determinación principalmente como un juicio o evaluación interna, sin indicios explícitos de manifestaciones corporales.",DISCURSO_048_FR_016,Presidente Javier Milei,determinación
cognoscitiva,"La expresión ""no tengo duda"" refleja un juicio interno de certeza y confianza, sin indicios de manifestaciones físicas o sensaciones corporales. Por lo tanto, la dominancia de la emoción es cognoscitiva.",DISCURSO_048_FR_017,Presidente Javier Milei,confianza
cognoscitiva,"La expresión de esperanza se manifiesta a través de una expectativa futura y un juicio positivo sobre el resultado (que los graduados harán que los argentinos se sientan orgullosos). No se observan indicios de manifestaciones corporales o sensaciones físicas; la emoción se basa principalmente en la evaluación y el pensamiento, lo que indica una dominancia cognoscitiva.",DISCURSO_048_FR_017,Presidente Javier Milei,esperanza
Cognoscitiva,"El enunciado muestra una evaluación cognitiva del momento histórico, reconociendo su significado especial y generando orgullo basado en juicios y pensamientos sobre la importancia del país, sin indicios de manifestaciones corporales.",DISCURSO_048_FR_018,Presidente Javier Milei,orgullo
Cognoscitiva,"La expresión de responsabilidad se manifiesta principalmente a través de juicios y evaluaciones sobre la importancia del momento histórico y la necesidad de actuar con compromiso. No se observan indicios de manifestaciones corporales o sensaciones físicas, por lo que la dominancia se clasifica como cognoscitiva.",DISCURSO_048_FR_018,Presidente Javier Milei,responsabilidad
Cognoscitiva,"El discurso expresa indignación al afirmar que la casta política impuso una realidad miserable a los argentinos, lo cual implica un juicio evaluativo de injusticia y una reflexión sobre la situación. No se mencionan manifestaciones físicas o sensaciones corporales, por lo que la emoción se manifiesta principalmente en el dominio cognitivo.",DISCURSO_048_FR_019,Presidente Javier Milei,indignación
Cognoscitiva,"El discurso de Milei expresa frustración al evaluar la prolongada imposición de una realidad miserable por parte de la casta política. La manifestación de la emoción se centra en juicios y evaluaciones cognitivas sobre la duración y la injusticia de la situación, sin indicios explícitos de manifestaciones corporales o sensaciones físicas. Por lo tanto, la dominancia de la emoción identificada es cognoscitiva.",DISCURSO_048_FR_019,Presidente Javier Milei,frustración
Cognoscitiva,"El enunciado expresa esperanza a través de una evaluación cognitiva de la situación: se reconoce que la realidad miserable impuesta por la casta política está siendo revertida con esfuerzo. No se mencionan manifestaciones físicas ni sensaciones corporales, por lo que la emoción se manifiesta principalmente en juicios y pensamientos.",DISCURSO_048_FR_019,Presidente Javier Milei,esperanza
Cognoscitiva,"El discurso enfatiza el esfuerzo colectivo y la acción deliberada para revertir una realidad percibida como miserable, lo que indica una evaluación y decisión mental de cambiar la situación. No se mencionan manifestaciones físicas ni sensaciones corporales, por lo que la dominancia se ubica en el ámbito cognoscitivo.",DISCURSO_048_FR_019,Presidente Javier Milei,determinación
Cognoscitiva,"El enunciado expresa una fuerte valoración moral y juicio crítico al describir los legados de la casta como ""nefastos"" y al señalar que han fracturado la relación con las fuerzas armadas. No se menciona ninguna manifestación física, sensación corporal ni gesto, por lo que la emoción de indignación se manifiesta principalmente a través de juicios y evaluaciones cognitivas.",DISCURSO_048_FR_020,Presidente Javier Milei,indignación
