foria,justificacion,recorte_id,experienciador,tipo_emocion
Disfórico,"La indignación expresada por el presidente Milei al referirse al ""secuestro ilegal"" de Nahuel Gallo refleja una reacción de malestar y desaprobación ante una acción ilícita, lo cual corresponde a una tonalidad afectiva negativa típica de las emociones disfóricas.",DISCURSO_048_FR_002,Presidente Javier Milei,indignación
Disfórico,"El discurso expresa indignación hacia la detención injusta y la condena de Maduro como dictador criminal, lo que indica una emoción negativa y de malestar.",DISCURSO_048_FR_003,Presidente Javier Milei,indignación
Disfórico,"El sentimiento de desprecio y desdén expresado en la frase ""dictador criminal"" y la crítica a la detención por un delito trivial indica una emoción negativa y de malestar, lo que corresponde al carácter disfórico según la ontología y las heurísticas proporcionadas.",DISCURSO_048_FR_003,Presidente Javier Milei,contempto
disforico,"La emoción de indignación se caracteriza por un tono negativo de malestar y descontento frente a una acción percibida como injusta o violatoria. En el discurso se emplean verbos y expresiones como ""exigimos"" y la denuncia de un secuestro, lo que refuerza la carga negativa y de protesta, alineándose con la categoría disfórica.",DISCURSO_048_FR_004,Presidente Javier Milei,indignación
Afórico,"La emoción de determinación se caracteriza por una firme voluntad de lograr un objetivo sin expresar explícitamente alegría ni malestar. En el discurso, la frase indica una intención resoluta y decidida, pero no transmite una tonalidad afectiva positiva (eufórica) ni negativa (disfórica). Por lo tanto, se clasifica como afórica, es decir, neutra en cuanto a polaridad emocional.",DISCURSO_048_FR_004,Presidente Javier Milei,determinación
Eufórico,"La expresión de esperanza y la expectativa de un resultado positivo (liberación sana y salvo) indican un tono positivo y optimista, característico de la emoción eufórica.",DISCURSO_048_FR_004,Presidente Javier Milei,esperanza
Eufórico,"El verbo 'quiero' indica un deseo de saludar, que se interpreta como una expresión de entusiasmo y cordialidad. El contexto de un discurso de bienvenida y reconocimiento a los militares y a los nuevos egresados sugiere un tono positivo y alegre, característico de la euforía.",DISCURSO_048_FR_005,Presidente Javier Milei,deseo
euforico,"La expresión de gratitud indica un tono positivo de satisfacción y aprecio, lo que la clasifica como una emoción eufórica según la ontología y las heurísticas de tonalidad afectiva.",DISCURSO_048_FR_006,Presidente Javier Milei,gratitud
euforico,"El discurso expresa gratitud y reconocimiento hacia los acompañantes, lo que indica una emoción positiva y de satisfacción. La apreciación se manifiesta como alegría y entusiasmo por su presencia, lo que corresponde al carácter eufórico según la ontología.",DISCURSO_048_FR_006,Presidente Javier Milei,aprecio
euforico,"El discurso describe la jornada como ""inolvidable"" y expresa orgullo por los participantes, lo que indica una valoración positiva y de satisfacción. La emoción de orgullo se alinea con la tonalidad eufórica, caracterizada por alegría, entusiasmo y satisfacción, sin indicios de malestar o neutralidad. Por lo tanto, el carácter fórico de la emoción identificada es eufórico.",DISCURSO_048_FR_006,Presidente Javier Milei,orgullo
euforico,"La expresión ""es un honor para mí"" refleja un sentimiento positivo de orgullo y satisfacción, característico de una emoción eufórica. El tono de la frase transmite entusiasmo y gratitud por la oportunidad de participar en la ceremonia, lo que indica una tonalidad afectiva claramente positiva.",DISCURSO_048_FR_007,Presidente Javier Milei,honor
euforico,"El enunciador expresa alegría y entusiasmo al ofrecer sus más sinceras felicitaciones a los graduados, lo cual indica una tonalidad afectiva positiva y de satisfacción, característica de la emoción eufórica.",DISCURSO_048_FR_009,Presidente Javier Milei,felicidad
euforico,"La expresión de orgullo implica una valoración positiva y de satisfacción hacia el logro de los graduados, lo que corresponde a un tono afectivo eufórico según la ontología y las heurísticas de inferencia.",DISCURSO_048_FR_009,Presidente Javier Milei,orgullo
Eufórico,"El discurso celebra el logro de los graduados y expresa orgullo, un sentimiento positivo y de satisfacción. La frase destaca el cierre de una etapa y el inicio de otra llena de aprendizaje, lo que refuerza la tonalidad alegre y entusiasta típica de la emoción eufórica.",DISCURSO_048_FR_011,Presidente Javier Milei,orgullo
euforico,"El discurso expresa una visión positiva y esperanzadora del futuro de los graduados, resaltando la continuidad del aprendizaje y el acompañamiento de las enseñanzas a lo largo de sus vidas. Este tono optimista y de expectativa favorable corresponde a la categoría eufórica, caracterizada por la alegría, entusiasmo y satisfacción que la esperanza evoca.",DISCURSO_048_FR_011,Presidente Javier Milei,esperanza
euforico,"El discurso expresa orgullo y celebración al mencionar que los sables simbolizan los máximos principios y valores de los héroes emancipadores, lo que implica una valoración positiva y satisfacción. Esta valoración positiva y el tono de celebración corresponden a la categoría eufórica.",DISCURSO_048_FR_012,Presidente Javier Milei,orgullo
aforico,"La reverencia expresa un respeto y admiración solemne hacia los héroes y sus valores, lo cual es una emoción positiva pero no se caracteriza por la alegría, entusiasmo o satisfacción típica del eufórico. Tampoco presenta un tono negativo, por lo que no es disfórico. Al no mostrar una polaridad claramente positiva o negativa, se clasifica como afórico.",DISCURSO_048_FR_012,Presidente Javier Milei,reverencia
