intensidad,justificacion,recorte_id,experienciador,tipo_emocion
Alta,"El enunciador menciona explícitamente el ""secuestro ilegal"" de Nahuel Gallo y lo presenta como una acción ilícita que merece una reacción de indignación. La referencia a este hecho antes de iniciar el discurso indica una fuerte condena y una respuesta emocional intensa, típica de la indignación en un contexto político y de injusticia. Por lo tanto, la intensidad de la emoción se infiere como alta.",DISCURSO_048_FR_002,Presidente Javier Milei,indignación
Alta,"El enunciador utiliza un lenguaje fuerte y condenatorio al referirse a Nicolás Maduro como ""dictador criminal"" y al describir la detención como una injusticia por un delito trivial. La combinación de calificativos negativos y la crítica directa indican una expresión intensa de indignación.",DISCURSO_048_FR_003,Presidente Javier Milei,indignación
Alta,"El discurso emplea calificativos fuertes como ""dictador criminal"" y presenta la detención como un acto de gravedad exagerada por un delito trivial, lo que indica un desprecio intenso y una expresión de desprecio clara hacia Maduro y su régimen.",DISCURSO_048_FR_003,Presidente Javier Milei,contempto
Alta,"El uso de ""exigimos"" y la declaración de ""agotar todas las vías diplomáticas"" indican una demanda firme y urgente, típica de una indignación con alta intensidad. Además, el contexto de denunciar un secuestro y la urgencia de la liberación refuerzan la fuerza emocional del discurso.",DISCURSO_048_FR_004,Presidente Javier Milei,indignación
Alta,"El discurso emplea verbos fuertes como ""exigimos"" y ""agotaremos"", además de la expresión ""inmediata"" y la referencia a ""todas las vías diplomáticas"", lo que indica una intención firme y urgente, caracterizando una alta intensidad de determinación.",DISCURSO_048_FR_004,Presidente Javier Milei,determinación
Alta,"El discurso muestra una demanda urgente y la determinación de usar todas las vías diplomáticas, lo que indica una esperanza fuerte y activa de que el proceso sea exitoso y el individuo sea recuperado sin daños.",DISCURSO_048_FR_004,Presidente Javier Milei,esperanza
Baja,"El deseo de saludar se expresa con el verbo ""quiero"" sin intensificadores ni adverbios que aumenten su fuerza. El contexto es una formalidad de discurso, donde la expresión de deseo es habitual y no implica una emoción intensa. Por lo tanto, la intensidad se considera baja.",DISCURSO_048_FR_005,Presidente Javier Milei,deseo
Baja,"El enunciado expresa gratitud de manera sencilla y sin énfasis emocional fuerte; la frase es una simple expresión de agradecimiento sin adverbios intensificadores ni tono exaltado, lo que indica una intensidad baja.",DISCURSO_048_FR_006,Presidente Javier Milei,gratitud
Alta,"El discurso expresa un agradecimiento explícito y enfático, resaltado por la frase ""inolvidable jornada"", lo que indica una apreciación fuerte y claramente expresada.",DISCURSO_048_FR_006,Presidente Javier Milei,aprecio
Alta,"El enunciador utiliza el adjetivo ""inolvidable"" para describir la jornada, lo que indica una valoración muy positiva y fuerte. Además, al dirigirse a los asistentes con orgullo, se expresa una emoción intensa y celebratoria. En conjunto, la presencia de un calificativo fuerte y la expresión de orgullo sugieren una intensidad alta.",DISCURSO_048_FR_006,Presidente Javier Milei,orgullo
Neutra/Ambivalente,"La frase ""es un honor para mí"" es una expresión estándar y formal sin adverbios o intensificadores que aumenten su fuerza emocional. No se percibe una exaltación ni una leveza marcada, por lo que la intensidad se considera neutra o ambivalente dentro del contexto discursivo.",DISCURSO_048_FR_007,Presidente Javier Milei,honor
Alta,"El discurso expresa alegría y gratitud al ofrecer ""mis más sinceras felicitaciones"" a los graduados, un gesto que implica una emoción fuerte y genuina. La elección de palabras como ""más sinceras"" y el contexto de una ceremonia de graduación refuerzan la intensidad alta de la felicidad manifestada.",DISCURSO_048_FR_009,Presidente Javier Milei,felicidad
Alta,"El discurso emplea expresiones de reconocimiento y felicitación directa, como ""mis más sinceras felicitaciones"", que indican un orgullo fuerte y explícito por el logro de los graduados. La formalidad del contexto (graduación militar) y la elección de adjetivos que subrayan la sinceridad refuerzan la intensidad emocional, situándola en el rango de alta.",DISCURSO_048_FR_009,Presidente Javier Milei,orgullo
Alta,"El discurso celebra el logro de los graduados al concluir una etapa de formación, lo que implica un sentimiento de orgullo por su éxito. La expresión es celebratoria y positiva, típica de un tono de orgullo fuerte, lo que sugiere una intensidad alta.",DISCURSO_048_FR_011,Presidente Javier Milei,orgullo
Alta,"El discurso expresa una visión muy positiva y optimista sobre el futuro de los graduados, enfatizando que nunca dejarán de aprender y que las enseñanzas los acompañarán toda la vida. El uso de expresiones como ""nunca dejarán de aprender"" y la referencia a un acompañamiento permanente refuerzan la fuerza de la emoción de esperanza, lo que indica una intensidad alta.",DISCURSO_048_FR_011,Presidente Javier Milei,esperanza
Alta,"El discurso expresa un orgullo fuerte y celebratorio al mencionar que los sables, símbolos de los máximos principios y valores de los héroes emancipadores, serán entregados a los graduados. La referencia a la tradición y la exaltación de los valores nacionales indica una emoción intensamente positiva, típica de un orgullo elevado en un contexto ceremonial y simbólico.",DISCURSO_048_FR_012,Presidente Javier Milei,orgullo
Alta,"La expresión de reverencia se manifiesta de forma intensa al hacer referencia a los ""héroes emancipadores"" y a los ""máximos principios y valores"" que los sables simbolizan. El tono formal y la connotación histórica del discurso refuerzan la fuerza emocional, indicando una reverencia profunda y no simplemente leve o ambivalente.",DISCURSO_048_FR_012,Presidente Javier Milei,reverencia
Baja,"El discurso presenta un tono formal y respetuoso sin el uso de adjetivos o verbos que intensifiquen la emoción. La frase se limita a describir la entrega simbólica de los sables y la referencia a los valores de los héroes emancipadores, sin recurrir a expresiones apasionadas o exclamaciones que indiquen una emoción fuerte. Por lo tanto, la intensidad del respeto expresado se considera baja.",DISCURSO_048_FR_012,Presidente Javier Milei,respeto
Baja,"El discurso emplea el adverbio temporal ""en instantes"" sin intensificadores ni expresiones que aumenten la emoción. La referencia a la entrega de los sables se presenta de manera informativa y formal, lo que sugiere una sensación de anticipación leve y no intensamente expresada.",DISCURSO_048_FR_012,Presidente Javier Milei,anticipación
Alta,"El discurso celebra la entrega de juramentos y la formación de nuevos oficiales, expresando orgullo por la institución y el compromiso de los oficiales. El tono formal y la referencia a una vida entera de servicio indican una emoción de orgullo intensamente expresada.",DISCURSO_048_FR_014,Presidente Javier Milei,orgullo
Baja,"El discurso presenta una visión positiva y esperanzadora sobre el futuro de la nación y el compromiso de los oficiales, pero lo hace de manera formal y sin recursos retóricos intensos (no hay exclamaciones, adjetivos superlativos ni lenguaje cargado). La expresión de esperanza se mantiene moderada y se integra en un contexto institucional, lo que sugiere una intensidad baja de la emoción.",DISCURSO_048_FR_014,Presidente Javier Milei,esperanza
